OACI,CIAD,Nome,Municipio,UF,Tipo
SBML,SP0014,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,Publico
SBMO,AL0001,ZUMBI DOS PALMARES,MACEIÓ,AL,Publico
SBMQ,AP0001,ALBERTO ALCOLUMBRE,MACAPÁ,AP,Publico
SBMS,RN0002,DIX-SEPT ROSADO,MOSSORÓ,RN,Publico
SBMT,SP0007,CAMPO DE MARTE,SÃO PAULO,SP,Publico
SBMY,AM0015,MANICORÉ,MANICORÉ,AM,Publico
SBNF,SC0002,MINISTRO VICTOR KONDER,NAVEGANTES,SC,Publico
SBNM,RS0008,SANTO ÂNGELO,SANTO ÂNGELO,RS,Publico
SBOI,AP0002,OIAPOQUE,OIAPOQUE,AP,Publico
SBPA,RS0001,SALGADO FILHO,PORTO ALEGRE,RS,Publico
SBPB,PI0002,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,Publico
SBPC,MG0018,EMBAIXADOR WALTHER MOREIRA SALLES,POÇOS DE CALDAS,MG,Publico
SBPF,RS0006,LAURO KURTZ,PASSO FUNDO,RS,Publico
SBPJ,TO0001,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,Publico
SBPK,RS0005,JOÃO SIMÕES LOPES NETO,PELOTAS,RS,Publico
SBPL,PE0002,AEROPORTO INTERNACIONAL SENADOR NILO COELHO,PETROLINA,PE,Publico
SDPE,TO0003,PORTO NACIONAL,PORTO NACIONAL,TO,Publico
SBPP,MS0005,AEROPORTO INTERNACIONAL DE PONTA PORÃ,PONTA PORÃ,MS,Publico
SBNV,GO0002,AERÓDROMO NACIONAL DE AVIAÇÃO,GOIÂNIA,GO,Publico
SBPS,BA0002,PORTO SEGURO,PORTO SEGURO,BA,Publico
SBPV,RO0001,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,Publico
SBRB,AC0001,PLÁCIDO DE CASTRO,RIO BRANCO,AC,Publico
SBRD,MT0004,RONDONÓPOLIS - MAESTRO MARINHO FRANCO,RONDONÓPOLIS,MT,Publico
SBRF,PE0001,AEROPORTO INTERNACIONAL RECIFE/GUARARAPES - GILBERTO FREYRE,RECIFE,PE,Publico
SBRJ,RJ0002,SANTOS DUMONT,RIO DE JANEIRO,RJ,Publico
SBRP,SP0004,LEITE LOPES,RIBEIRÃO PRETO,SP,Publico
SBSG,RN0001,AEROPORTO INTERNACIONAL DO RIO GRANDE DO NORTE / SÃO GONÇALO DO AMARANTE - GOVERNADOR ALUIZIO ALVES,NATAL,RN,Publico
SBSJ,SP0008,PROFESSOR URBANO ERNESTO STUMPF,SÃO JOSÉ DOS CAMPOS,SP,Publico
SBSL,MA0001,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,Publico
SBSM,RS0003,SANTA MARIA,SANTA MARIA,RS,Publico
SBSN,PA0002,MAESTRO WILSON FONSECA,SANTARÉM,PA,Publico
SBSP,SP0001,SÃO PAULO/CONGONHAS - DEPUTADO FREITAS NOBRE,SÃO PAULO,SP,Publico
SBSR,SP0006,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,Publico
SBSV,BA0001,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,Publico
SBTB,PA0012,TROMBETAS,ORIXIMINÁ,PA,Publico
SBTD,PR0008,LUIZ DALCANALE FILHO,TOLEDO,PR,Publico
SBTE,PI0001,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,Publico
SBTF,AM0004,PREFEITO ORLANDO MARINHO,TEFÉ,AM,Publico
SBTG,MS0006,TRÊS LAGOAS,TRÊS LAGOAS,MS,Publico
SBTK,AC0004,TARAUACÁ,TARAUACÁ,AC,Publico
SSTE,RS0011,TORRES,TORRES,RS,Publico
SBTT,AM0005,TABATINGA,TABATINGA,AM,Publico
SBTU,PA0007,TUCURUÍ,TUCURUÍ,PA,Publico
SBUA,AM0003,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,Publico
SBUF,BA0007,PAULO AFONSO,PAULO AFONSO,BA,Publico
SBUG,RS0012,RUBEM BERTA,URUGUAIANA,RS,Publico
SBUL,MG0002,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,Publico
SBUR,MG0009,MARIO DE ALMEIDA FRANCO,UBERABA,MG,Publico
SBVG,MG0019,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,Publico
SBVH,RO0003,VILHENA,VILHENA,RO,Publico
SBVT,ES0001,EURICO DE AGUIAR SALLES,VITÓRIA,ES,Publico
SBZM,MG0006,PRESIDENTE ITAMAR FRANCO,GOIANÁ,MG,Publico
SDAA,SP0045,ARARAS,ARARAS,SP,Publico
SDAD,SP0046,EVERALDO MORAES BARRETO,ADAMANTINA,SP,Publico
SDAG,RJ0010,ANGRA DOS REIS,ANGRA DOS REIS,RJ,Publico
SDAI,SP0047,AMERICANA,AMERICANA,SP,Publico
SDAM,SP0037,ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL,CAMPINAS,SP,Publico
SDAE,SP0053,SÃO PEDRO,SÃO PEDRO,SP,Publico
SDBB,SP0018,BEBEDOURO,BEBEDOURO,SP,Publico
SDBK,SP0019,TANCREDO DE ALMEIDA NEVES,BOTUCATU,SP,Publico
