OACI,CIAD,Nome,Municipio,UF,Tipo
SJAI,GO0065,Fazenda Davilândia,MONTIVIDIU DO NORTE,GO,Privado
SWVW,MG0205,Furnaspark Resort,FORMIGA,MG,Privado
SIKS,MT0649,Fazenda Vale do Juruena,NOVA BANDEIRANTES,MT,Privado
SJZZ,TO0059,AGROPECUÁRIA ZÉ REIS,PALMEIRÓPOLIS,TO,Privado
SSVU,MG0191,Fazenda Serra do Cabral,FRANCISCO DUMONT,MG,Privado
SWAI,PR0201,Fazenda Santa Luzia,ICARAÍMA,PR,Privado
SNMU,BA0142,Mucuri,MUCURI,BA,Privado
SSOX,MS0318,Fazenda Olho D'Água,PEDRO GOMES,MS,Privado
SIBN,RO0011,Savana,JARU,RO,Privado
SWQK,PA0148,Pista Aldeia Kubenkrankenh,OURILÂNDIA DO NORTE,PA,Privado
SSKC,MT0295,Fazenda Cristiani,BARRA DO BUGRES,MT,Privado
SJTT,MT0223,GRUPO ROTTA,SAPEZAL,MT,Privado
SWZE,MT0445,Fazenda Tamboril,PONTES E LACERDA,MT,Privado
SJJT,MS0480,Fazenda Pampili,TRÊS LAGOAS,MS,Privado
SWZH,ES0011,Fazenda XV de Outubro,COLATINA,ES,Privado
SJDT,MS0153,Fazenda São Roque,AQUIDAUANA,MS,Privado
SNZZ,AL0013,Muzzi,CORURIPE,AL,Privado
SDEN,SC0023,COSTA ESMERALDA,PORTO BELO,SC,Privado
SIJS,PA0048,Fazenda Tonga,PARAGOMINAS,PA,Privado
SJNH,PA0073,Fazenda Nova Esperança,SÃO FÉLIX DO XINGU,PA,Privado
SNWU,MS0237,Fazenda Ponte Quihá,ARAL MOREIRA,MS,Privado
SNWF,MS0233,Fazenda Cachoeirinha,PONTA PORÃ,MS,Privado
SWKW,PA0145,Pista Aldeia Kawatire,SÃO FÉLIX DO XINGU,PA,Privado
SIFN,MS0082,Fazenda Cachoeira Branca,RIBAS DO RIO PARDO,MS,Privado
SNGR,PA0092,Gorotire,CUMARU DO NORTE,PA,Privado
SJNV,GO0081,Fazenda São Francisco,GOUVELÂNDIA,GO,Privado
SSLD,MS0301,Fazenda Lourdes,CORUMBÁ,MS,Privado
SSXG,PR0093,Fazenda Guanabara,PARANAPOEMA,PR,Privado
SJ83,MT0830,FAZENDA LEONARDO,PEDRA PRETA,MT,Privado
SWDD,MT0473,Fazenda Colibri,SANTO ANTÔNIO DO LEVERGER,MT,Privado
SWGT,GO0125,Fazenda Nova,JANDAIA,GO,Privado
SNSR,MG0161,Fazenda Santos Reis,GUARDA-MOR,MG,Privado
SIJN,SC0026,Pouso na Serra,BOM RETIRO,SC,Privado
SJBZ,GO0068,Fazenda Três Barras,ITARUMÃ,GO,Privado
SWPS,MG0202,Fazenda Das Perobas,PRUDENTE DE MORAIS,MG,Privado
SBOH,MT0657,Fazenda São Sebastião,TESOURO,MT,Privado
SJQS,MT0453,Fazenda Santa Tereza,UNIÃO DO SUL,MT,Privado
SDQM,BA0076,Fazenda Santo Antônio,BARREIRAS,BA,Privado
SJPK,MA0031,Fazenda Campo das Princesas,TIMON,MA,Privado
SJDX,MS0156,Fazenda Bandeirantes,AQUIDAUANA,MS,Privado
SWLN,PI0043,Fazenda Laranjeiras,CURRAIS,PI,Privado
SDWU,MS0059,Fazenda Anahí,PORTO MURTINHO,MS,Privado
SDRF,RJ0017,Fazenda Recanto Feliz,RIO CLARO,RJ,Privado
SDGP,MT0036,Fazenda Gaivota,PARANATINGA,MT,Privado
SDNE,SP0126,Fazenda São Joaquim,MARABÁ PAULISTA,SP,Privado
SIJW,MS0093,Fazenda Retimar,IGUATEMI,MS,Privado
SWEA,MT0332,Fazenda Santiago de Compostela ,COMODORO,MT,Privado
SIYM,PR0053,Fazenda Montesion,TOLEDO,PR,Privado
SDLG,MS0455,Fazenda Planalto,COSTA RICA,MS,Privado
SSWZ,MG0192,Fazenda Dona Neném,PRESIDENTE OLEGÁRIO,MG,Privado
SISN,MG0304,Fazenda Valiosa,BRASILÂNDIA DE MINAS,MG,Privado
SSZV,MT0325,Fazenda Cifrão,PEDRA PRETA,MT,Privado
SSAM,MT0280,Posto de Proteção Ambiental Santo André,BARÃO DE MELGAÇO,MT,Privado
SIHI,PA0046,Fazenda Itaipavas,PIÇARRA,PA,Privado
SILU,MS0098,BRPEC Agro-Pecuária,MIRANDA,MS,Privado
SWLH,MA0051,Fazenda Nova Holanda,BALSAS,MA,Privado
SIOU,PA0050,Fazenda Progresso  ,PARAGOMINAS,PA,Privado
SNHD,MG0149,Fazenda Floresta do Lobo,UBERLÂNDIA,MG,Privado
SWIW,GO0129,Fazenda Pirapitinga,COCALZINHO DE GOIÁS,GO,Privado
SDSL,MT0494,Fazenda Bang Bang,SÃO JOSÉ DO XINGU,MT,Privado
SIJJ,MS0090,Fazenda Cambay,JUTI,MS,Privado
SINC,SC0029,Campo Nuic,BOM JARDIM DA SERRA,SC,Privado
SJFB,MA0028,Fazenda Bacuri,RIACHÃO,MA,Privado
SINR,MT0110,Fazenda Santa Rosa,CÁCERES,MT,Privado
SJOR,BA0119,Fazenda Onça do Barão,COCOS,BA,Privado
SIFV,ES0008,Primo Bitti,ARACRUZ,ES,Privado
SNFC,PA0088,Marina do Caraipé,TUCURUÍ,PA,Privado
SJHU,MT0180,Fazenda Brasilândia do Guaporé,COMODORO,MT,Privado
SJPP,MT0205,Aero Rural,ALTA FLORESTA,MT,Privado
SWWQ,GO0148,Fazenda Santa Maria,MUNDO NOVO,GO,Privado
SSXN,PA0135,Aéreo Amazônia,ALTAMIRA,PA,Privado
SSVB,BA0166,Fazenda Ventura IV,SÃO DESIDÉRIO,BA,Privado
SWZP,MT0449,Fazenda Vale Rico,SÃO JOSÉ DO POVO,MT,Privado
SSXR,PA0163,Fazenda Nobel Pará,SANTANA DO ARAGUAIA,PA,Privado
SWEW,MT0337,Fazenda Felicidade,PORTO ESPERIDIÃO,MT,Privado
SNDH,BA0132,ABA,BARREIRAS,BA,Privado
SNUT,BA0017,De Utinga,UTINGA,BA,Privado
SSXS,BA0170,Sidel,ARACI,BA,Privado
SWQO,MG0422,Fazenda Renascença,FRUTAL,MG,Privado
SIZM,PR0054,MOCELIN II,DOIS VIZINHOS,PR,Privado
SJMJ,RR0070,Pedra Branca,UIRAMUTÃ,RR,Privado
SDPC,SP0133,Atena,RANCHARIA,SP,Privado
SIMX,MT0109,Fazenda Jangada,JANGADA,MT,Privado
SDVA,SP0153,Fazenda Campo Vitória,VARGEM GRANDE DO SUL,SP,Privado
SJNL,MT0194,Fazenda Reata,CAMPO NOVO DO PARECIS,MT,Privado
SSPW,MS0322,Fazenda São Paulo,COSTA RICA,MS,Privado
SJPC,MT0204,Fazenda Paredão,COMODORO,MT,Privado
SDRD,GO0044,Fazenda Andorinha,ESTRELA DO NORTE,GO,Privado
SWRI,MT0388,Fazenda Roncador I,QUERÊNCIA,MT,Privado
SWAU,MG0196,Fazenda Nossa Senhora Aparecida,PIRAJUBA,MG,Privado
SWON,SC0041,Clube de Aviação Céu Azul,ARAQUARI,SC,Privado
SJEC,RS0075,Mirim Aviação Agrícola,PELOTAS,RS,Privado
SJCJ,MT0165,Fazenda Carajás,SAPEZAL,MT,Privado
SIML,MT0107,Fazenda Siriema,SANTO ANTÔNIO DO LEVERGER,MT,Privado
SNPS,MS0409,Fazenda Seriema,NOVA ANDRADINA,MS,Privado
SSTQ,AP0011,Silvestre,PEDRA BRANCA DO AMAPARI,AP,Privado
SNRO,MT0640,Fazenda Liberdade,QUERÊNCIA,MT,Privado
SWGS,MT0598,Fazenda Rancho Branco,NOVA MARINGÁ,MT,Privado
SIUO,MT0135,Fazenda Santa Adélia,SÃO JOSÉ DO XINGU,MT,Privado
SDGM,MG0081,Fazenda Mucambo,BALDIM,MG,Privado
SDWG,BA0080,Fazenda Santa Maria,SÃO DESIDÉRIO,BA,Privado
SDVI,MT0067,Comandante Gastão,TANGARÁ DA SERRA,MT,Privado
SNZS,MT0665,Fazenda Vô Zeca,SANTA TEREZINHA,MT,Privado
SNYF,MS0240,Fazenda Fortaleza,BRASILÂNDIA,MS,Privado
SNWO,MS0236,Fazenda Vera Cruz,AMAMBAI,MS,Privado
SJWW,MS0189,Fazenda Cachoeira Preta,ÁGUA CLARA,MS,Privado
SNEN,PI0075,Fazenda Calubra,PASSAGEM FRANCA DO PIAUÍ,PI,Privado
SIRC,MS0123,Rancho Sinuelo,CARACOL,MS,Privado
SSLK,MG0184,Fazenda Três Lagoas,ITAPECERICA,MG,Privado
SDMX,MT0043,Fazenda Fontana,CAMPO VERDE,MT,Privado
SWWX,MT0427,Posto de Proteção Ambiental São Joaquim,BARÃO DE MELGAÇO,MT,Privado
SNZF,MT0622,AFG II,TANGARÁ DA SERRA,MT,Privado
SWQQ,MS0408,Fazenda Taquarussu,SETE QUEDAS,MS,Privado
SSEU,PA0125,Tabocal,ITAITUBA,PA,Privado
SSDZ,BA0156,Fazenda Requinte,SÃO DESIDÉRIO,BA,Privado
SWVJ,MT0416,Fazenda São Judas Tadeu,COMODORO,MT,Privado
SWQP,SP0281,Rio Vermelho Açúcar e Álcool,JUNQUEIRÓPOLIS,SP,Privado
SSVG,MG0190,Condomínio Fly Vila Resort,GUAPÉ,MG,Privado
SIID,RS0062,Fazenda Dona Chica,OSÓRIO,RS,Privado
SNIH,MS0209,Fazenda Rio Negro,AQUIDAUANA,MS,Privado
SJNZ,MT0514,Fazenda São Jorge,LAMBARI D'OESTE,MT,Privado
SDGJ,MS0031,Fazenda São José,PORTO MURTINHO,MS,Privado
SIGE,TO0018,Alberi Juliani,LAGOA DA CONFUSÃO,TO,Privado
SWCR,BA0249,Fazenda Canaã,FORMOSA DO RIO PRETO,BA,Privado
SWVO,MS0500,Fazenda Goaçu,RIBAS DO RIO PARDO,MS,Privado
SIPW,PI0023,Nossa Senhora de Fátima,TERESINA,PI,Privado
SSDP,MT0284,Fazenda Fortaleza do Guaporé,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Privado
SJSC,RS0129,Fazenda San Cyro,SERTÃO,RS,Privado
SJFX,MS0165,Fazenda Cypi,CORUMBÁ,MS,Privado
SJMH,RR0068,Palimiú,ALTO ALEGRE,RR,Privado
SDXW,MS0061,Fazenda Sombra da Serra,RIO VERDE DE MATO GROSSO,MS,Privado
SSRL,MS0327,Fazenda Rancho Alegre,RIO VERDE DE MATO GROSSO,MS,Privado
SSZW,MG0460,Usina Coruripe - Filial Limeira do Oeste,LIMEIRA DO OESTE,MG,Privado
SSVS,MS0343,Fazenda Sucuri,RIO BRILHANTE,MS,Privado
SJDW,MS0155,Fazenda Carandá,CARACOL,MS,Privado
SSML,BA0160,Comandante Jorge Mello,BOM JESUS DA LAPA,BA,Privado
SSJU,MT0587,Fazenda São Caetano,PRIMAVERA DO LESTE,MT,Privado
SJLH,RR0050,Jacamim,BONFIM,RR,Privado
SIOB,SP0189,Fazenda Guanabara,ANDRADINA,SP,Privado
SITT,PA0058,Independência,ITAITUBA,PA,Privado
SNHR,GO0283,Aero Roça,LUZIÂNIA,GO,Privado
SSEW,SP0245,Sítio Limoeiro,PARDINHO,SP,Privado
SJKJ,MT0191,Fazenda Siriema,CAMPOS DE JÚLIO,MT,Privado
SSGN,MS0276,Fazenda Guaíba,IGUATEMI,MS,Privado
SISV,MT0130,Fazenda Promissão,DIAMANTINO,MT,Privado
SWIC,MT0591,Fazenda Rancho Alegre,NOVA MUTUM,MT,Privado
SSAZ,RN0010,Stratus Ale,NATAL,RN,Privado
SWFM,GO0122,Fazenda Maiador,GOIANDIRA,GO,Privado
SIBO,MG0091,Simão Sarkis Simão,TRÊS MARIAS,MG,Privado
SIYR,PA0064,Fazenda Rosa de Maio ,ITAITUBA,PA,Privado
SJLI,MA0029,Fazenda Liliani,BOM JARDIM,MA,Privado
SWMY,PA0146,Clube de Voo Mãe Irene,ALTAMIRA,PA,Privado
SWPL,MT0027,Leonardo Villas Boas,GAÚCHA DO NORTE,MT,Privado
SNTG,BA0143,Gercino Coelho,FORMOSA DO RIO PRETO,BA,Privado
SSUI,TO0040,Fazenda Novo Horizonte,SANTA FÉ DO ARAGUAIA,TO,Privado
SWKB,MS0383,Fazenda Baía do Lara,CORUMBÁ,MS,Privado
SSLB,MS0300,Fazenda São Paulino,CORUMBÁ,MS,Privado
SWSQ,AM0053,São Joaquim,SÃO GABRIEL DA CACHOEIRA,AM,Privado
SWMX,MT0629,Fazenda Jauquara,BARRA DO BUGRES,MT,Privado
SNUE,RS0121,Aero Sepé Aviação Agrícola,SÃO SEPÉ,RS,Privado
SJNM,MT0195,Fazenda Santa Luzia,NOVA MUTUM,MT,Privado
SIMQ,MS0100,Fazenda Dois de Maio,CORUMBÁ,MS,Privado
SIMO,PR0048,Fazenda Morro Vermelho,RIBEIRÃO CLARO,PR,Privado
SJYT,RR0102,Campo Formoso,PACARAIMA,RR,Privado
SNIF,MG0150,Clube de Voo Floresta,VISCONDE DO RIO BRANCO,MG,Privado
SNIN,RS0084,Nova Era,PANTANO GRANDE,RS,Privado
SDYT,RR0026,Tucuxim,AMAJARI,RR,Privado
SDAY,PA0032,Fazenda Santa Lúcia,SANTA MARIA DAS BARREIRAS,PA,Privado
SJLV,RR0062,Morro,UIRAMUTÃ,RR,Privado
SWZC,MT0444,Fazenda Corixo,PORTO ESPERIDIÃO,MT,Privado
SNPF,GO0102,Fazenda Retiro da Matão,PORANGATU,GO,Privado
SIGG,MT0488,FSA,NOVA MARINGÁ,MT,Privado
SIUF,MT0134,Fazenda São Francisco,PEIXOTO DE AZEVEDO,MT,Privado
SIJA,PA0047,Maca Aero,TAILÂNDIA,PA,Privado
SWAA,GO0114,Fazenda Ykaraí,NOVA CRIXÁS,GO,Privado
SNKT,MS0214,Fazenda Viçosa,NAVIRAÍ,MS,Privado
SSLM,GO0202,Estância Acrobata,LEOPOLDO DE BULHÕES,GO,Privado
SD66,MT0582,Cravari,BRASNORTE,MT,Privado
SSIF,MS0287,Fazenda Baunilha,ITAQUIRAÍ,MS,Privado
SIDN,MS0069,Fazenda Figueiral,CORUMBÁ,MS,Privado
SIWQ,MS0137,Fazenda Mateira,SANTA RITA DO PARDO,MS,Privado
SWCI,GO0203,Agropecuária Rio da Prata,POSSE,GO,Privado
SSPV,MS0321,Fazenda Vera,ALCINÓPOLIS,MS,Privado
SWMN,TO0049,Santa Mônica,NATIVIDADE,TO,Privado
SJOD,AC0009,Jordão,JORDÃO,AC,Privado
SWMU,MS0386,Fazenda Três Muchachas,BANDEIRANTES,MS,Privado
SNPL,SP0233,Fazenda Pacuruxu,SANTA MERCEDES,SP,Privado
SJNU,MT0196,Fazenda Campo Alto,RIBEIRÃO CASCALHEIRA,MT,Privado
SWFJ,MS0373,Fazenda Estrela,ANTÔNIO JOÃO,MS,Privado
SSRJ,RS0099,Fazenda Jacuí,ELDORADO DO SUL,RS,Privado
SSKT,SC0038,Aeroclube de Santa Catarina,SÃO JOSÉ,SC,Privado
SIZI,GO0282,Fazenda Agrícola Godoy,CATALÃO,GO,Privado
SNUM,MT0617,Fazenda Córrego Fundo,ÁGUA BOA,MT,Privado
SDYB,SP0164,Fazenda São José do Bom Retiro,ITAPETININGA,SP,Privado
SSWU,RS0100,SEMENTES UMBU,SÃO LUIZ GONZAGA,RS,Privado
SJVS,PR0063,Fazenda Boa Vista,SANTA FÉ,PR,Privado
SSFM,PI0036,Fazenda Montani,BAIXA GRANDE DO RIBEIRO,PI,Privado
SIDG,RO0012,Irmãos Gonçalves,JARU,RO,Privado
SWOT,MT0375,Fazenda Planorte,SAPEZAL,MT,Privado
SNYZ,PA0119,Fazenda Rio 18,CUMARU DO NORTE,PA,Privado
SWAM,SP0269,Fazenda Agropecuária Gomes,TAQUARITUBA,SP,Privado
SDZU,SP0168,Fazenda Anhumas,MARABÁ PAULISTA,SP,Privado
SIFU,RJ0021,Fazenda Ribeirão,BARRA DO PIRAÍ,RJ,Privado
SSDM,BA0154,Fazenda Serinhaém,ITUBERÁ,BA,Privado
SIKU,MT0499,Fazenda Gaúcha do Norte,GAÚCHA DO NORTE,MT,Privado
SIEL,RO0013,Eletro Cesar Primavera,PIMENTA BUENO,RO,Privado
SWMJ,MT0366,Fazenda Mano Julio,IPIRANGA DO NORTE,MT,Privado
SJGD,BA0110,Fazenda Rio Brilhante,SÃO DESIDÉRIO,BA,Privado
SDSM,SP0142,Fazenda Nossa Senhora da Conceição,SÃO MANUEL,SP,Privado
SJUO,GO0088,Fazenda Juscelândia,JUSSARA,GO,Privado
SIZH,MS0146,Fazenda Vista Alegre,APARECIDA DO TABOADO,MS,Privado
SDGB,SP0103,Usina Colorado,GUAÍRA,SP,Privado
SDIP,SP0110,Fazenda Centro de Vôo a Vela Ipuã,CAÇAPAVA,SP,Privado
SDRL,MS0048,Fazenda Retiro Velho,PORTO MURTINHO,MS,Privado
SWQS,MS0392,Fazenda Santa Rosa,RIBAS DO RIO PARDO,MS,Privado
SIZG,MT0475,Fazenda Santo André II,NOVA MARINGÁ,MT,Privado
SSKY,MT0296,Fazenda Querência,TANGARÁ DA SERRA,MT,Privado
SJGR,GO0074,Santa Maria,FLORES DE GOIÁS,GO,Privado
SWSD,MT0395,Fazenda Santo Antônio,ARAGUAIANA,MT,Privado
SJLC,RR0047,Hakoma,ALTO ALEGRE,RR,Privado
SIPL,PA0052,Pista Aldeia Pykararankre,SÃO FÉLIX DO XINGU,PA,Privado
SWCH,BA0324,Fazenda Jucurutu do Formoso,JABORANDI,BA,Privado
SITC,MT0132,Fazenda Colorado,SORRISO,MT,Privado
SWXC,RO0038,Fazenda Tropical,CORUMBIARA,RO,Privado
SNQN,MT0265,Fazenda Estrela,CANARANA,MT,Privado
SSJC,SP0249,Jacarezinho,VALPARAÍSO,SP,Privado
SNNW,GO0198,Fazenda Regalito,FLORES DE GOIÁS,GO,Privado
SWTZ,MS0396,Fazenda Santo Antônio - Zampieri,RIBAS DO RIO PARDO,MS,Privado
SWOA,GO0138,Arnapar,GOIANIRA,GO,Privado
SWLY,SP0277,Chácara MCL,ANDRADINA,SP,Privado
SICJ,MT0084,Gaivota Aviação Agrícola,SAPEZAL,MT,Privado
SNAC,PA0081,Fazenda Santa Rosa,XINGUARA,PA,Privado
SDLU,SP0119,Fazenda Santa Luíza,BARRA BONITA,SP,Privado
SSPJ,MT0603,Pousada Juruena,NOVA BANDEIRANTES,MT,Privado
SIKX,MT0103,Fazenda Água Boa ,JUARA,MT,Privado
SIEX,MG0098,Fazenda São Joaquim I,SANTA VITÓRIA,MG,Privado
SWLZ,MG0201,Fazenda São Luiz,PARACATU,MG,Privado
SINP,PR0049,Campo Primavera,SANTA MÔNICA,PR,Privado
SNGM,PA0091,Fazenda Epemaju,SÃO FÉLIX DO XINGU,PA,Privado
SIQG,MS0119,Fazenda Guanandy,PONTA PORÃ,MS,Privado
SWLM,RO0031,Fazenda Mustang II,CANDEIAS DO JAMARI,RO,Privado
SDHX,RS0055,D'Tapes,TAPES,RS,Privado
SDLI,MT0570,Fazenda Dois Irmãos,CAMPO NOVO DO PARECIS,MT,Privado
SIYI,GO0181,Fazenda Planalto ,MONTIVIDIU,GO,Privado
SJWO,MT0233,Joule Agropecuária,COCALINHO,MT,Privado
SWXS,MT0432,Fazenda Poças,SANTO ANTÔNIO DO LEVERGER,MT,Privado
SIBK,RS0058,Aeroclube de Bagé,BAGÉ,RS,Privado
SJVR,MS0186,Fazenda São Joaquim,JARDIM,MS,Privado
SNJD,GO0098,Fazenda Jardim,CHAPADÃO DO CÉU,GO,Privado
SSGP,DF0007,Piquet,BRASÍLIA,DF,Privado
SWJQ,MS0382,Fazenda São João,PARANHOS,MS,Privado
SWLD,PI0052,Condomínio Milla ,BAIXA GRANDE DO RIBEIRO,PI,Privado
SIQK,SP0194,Nova Odessa,NOVA ODESSA,SP,Privado
SJYP,RR0098,Bananeira,UIRAMUTÃ,RR,Privado
SIQU,MS0122,Alcoolvale,APARECIDA DO TABOADO,MS,Privado
SDLH,MS0036,Fazenda Pato Branco,SÃO GABRIEL DO OESTE,MS,Privado
SN87,RO0090,Fazenda Barranco Alto,CORUMBIARA,RO,Privado
SIOM,BA0092,Fazenda Orquídeas,BARREIRAS,BA,Privado
SNVH,MT0271,Fazenda Santa Helena,CÁCERES,MT,Privado
SSHV,MG0183,Fazenda Genipapo,VÁRZEA DA PALMA,MG,Privado
SIUV,MT0138,Fazenda Vianmacel,NOVA MARINGÁ,MT,Privado
SSAD,MS0243,Fazenda Ribeirão,CHAPADÃO DO SUL,MS,Privado
SSAV,MS0245,Fazenda Amonguijá,PORTO MURTINHO,MS,Privado
SISA,PA0055,Pista Aldeia Aukre,OURILÂNDIA DO NORTE,PA,Privado
SNGK,MG0146,Fazenda Bela Vista,MONTE ALEGRE DE MINAS,MG,Privado
SSPB,MS0519,Fazenda São José do Pontal,RIBAS DO RIO PARDO,MS,Privado
SWXG,GO0188,Fazenda Cachoeirinha,CAIAPÔNIA,GO,Privado
SJFJ,MS0161,Fazenda Jaraguá,TERENOS,MS,Privado
SDHP,MS0032,Modelo II,RIBAS DO RIO PARDO,MS,Privado
SSZQ,MS0362,Fazenda Panorama,BELA VISTA,MS,Privado
SJYZ,MT0513,Fazenda Gaúcha,CAMPO NOVO DO PARECIS,MT,Privado
SWBO,RO0027,Fazenda Perobal,CORUMBIARA,RO,Privado
SWRD,RO0033,Chácara Rondoagro,SÃO MIGUEL DO GUAPORÉ,RO,Privado
SWNL,MS0387,Fazenda São Sebastião,RIBAS DO RIO PARDO,MS,Privado
SDIB,SP0107,Irmãos  Ribeiro,ESPÍRITO SANTO DO PINHAL,SP,Privado
SJEA,TO0025,Cadete 56 - 147 Santana,PALMEIRÓPOLIS,TO,Privado
SSRO,BA0162,Fazenda Arrojadinho,JABORANDI,BA,Privado
SNGW,BA0137,Fazenda Santo Angelo,BARRA DO CHOÇA,BA,Privado
SWUB,BA0185,Belo Horizonte,ARAÇÁS,BA,Privado
SSUR,MT0315,Fazenda Rio Fontoura,SÃO FÉLIX DO ARAGUAIA,MT,Privado
SSOJ,MS0314,Fazenda Estrela,INOCÊNCIA,MS,Privado
SJNQ,BA0118,Destilaria Medasa,CARAVELAS,BA,Privado
SNVN,MG0166,Fazenda Vitória Santa,SANTA VITÓRIA,MG,Privado
SSZN,MT0323,Fazenda Carandazal,CÁCERES,MT,Privado
SWIE,BA0179,Fazenda Planalto das Emas,JABORANDI,BA,Privado
SJIY,GO0077,Fazenda Iaciara,IACIARA,GO,Privado
SDYI,MG0087,Fazenda Buritiz,SÃO GONÇALO DO ABAETÉ,MG,Privado
SJEJ,RR0032,Fazenda Estrela,ALTO ALEGRE,RR,Privado
SNIV,MG0151,Fazenda Jumari,IPIAÇU,MG,Privado
SDLD,MT0039,Fazenda Barra Grande,CONFRESA,MT,Privado
SJAL,BA0101,Lagoa Grande,IRAMAIA,BA,Privado
SWYE,RS0172,Fazenda São Lourenço,ALEGRETE,RS,Privado
SBOL,GO0298,Fazenda Santa Lúcia,APORÉ,GO,Privado
SNFF,CE0022,Feijó,FORTALEZA,CE,Privado
SJJU,MT0188,Fazenda Barra Mansa,NOVA LACERDA,MT,Privado
SIKO,MS0095,Fazenda Água Boa,ANASTÁCIO,MS,Privado
SNCJ,PA0086,Piquiatuba,SANTARÉM,PA,Privado
SSYV,MS0410,Fazenda Indaiá,CHAPADÃO DO SUL,MS,Privado
SNJA,RS0085,Capivari,CAPIVARI DO SUL,RS,Privado
SIEN,MS0076,Fazenda Santa Eulina,CORUMBÁ,MS,Privado
SWYL,CE0025,Fazenda Carrapato,ITAPIPOCA,CE,Privado
SNLZ,TO0038,Fazenda Boca da Mata,DIVINÓPOLIS DO TOCANTINS,TO,Privado
SNDD,SP0225,Condomínio Aeronáutico Santos Dumont,ELIAS FAUSTO,SP,Privado
SWIL,MT0353,Fazenda Tarumã,PEDRA PRETA,MT,Privado
SSTF,PA0131,Fazenda Santa Fé,SANTANA DO ARAGUAIA,PA,Privado
SNUK,BA0097,Centúria Montana,FORMOSA DO RIO PRETO,BA,Privado
SJUA,MG0133,Fazenda ABC,BURITIS,MG,Privado
SNTC,MG0449,Fazenda Campo Alto,PRATA,MG,Privado
SDUL,SP0151,Usina Santa Lydia,RIBEIRÃO PRETO,SP,Privado
SWIY,TO0047,Santa Isabel do Morro,LAGOA DA CONFUSÃO,TO,Privado
SDGQ,CE0014,Jeová Gomes,LIMOEIRO DO NORTE,CE,Privado
SJQU,BA0121,Fazenda Formosa,FORMOSA DO RIO PRETO,BA,Privado
SIWZ,MS0139,Fazenda Fazendinha,AQUIDAUANA,MS,Privado
SDVQ,TO0016,Fazenda Cabeceira Verde,CAMPOS LINDOS,TO,Privado
SSZB,MT0474,Fazenda Chalana,DIAMANTINO,MT,Privado
SNOI,SP0231,ESTANCIA IRMÃOS MARTINS,TUPÃ,SP,Privado
SIFM,MS0081,Fazenda Mimoso,PARAÍSO DAS ÁGUAS,MS,Privado
SJKL,RR0033,Canã,NORMANDIA,RR,Privado
SIAU,MT0079,Fazenda Pirizal,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Privado
SDGX,BA0073,Morro de São Paulo,CAIRU,BA,Privado
SJDL,MS0151,Fazenda Paraíso,CORUMBÁ,MS,Privado
SDXA,RR0024,SAWI,NORMANDIA,RR,Privado
SSHG,RS0120,Fazenda Santa Helena,RIO PARDO,RS,Privado
SNIZ,RO0023,Fazenda Jaqueline,VILHENA,RO,Privado
SSHQ,SP0247,Fazenda Sossego,ROSANA,SP,Privado
SNCC,RO0021,Fazenda Centrino,CABIXI,RO,Privado
SJOA,MT0198,Fazenda Nossa Senhora Aparecida ,IPIRANGA DO NORTE,MT,Privado
SNKQ,MS0213,Fazenda Quebraxo,PORTO MURTINHO,MS,Privado
SIEH,SP1264,Fazenda Vô Chico,JALES,SP,Privado
SJJQ,MG0127,Fazendas Apóstolo Simão Coffee,RIO PARDO DE MINAS,MG,Privado
SWHJ,AC0013,Fazenda Santa Lúcia,BRASILÉIA,AC,Privado
SNXK,PA0111,Fazenda Lagoa do Triunfo,SÃO FÉLIX DO XINGU,PA,Privado
SSCW,MT0282,Fazenda Centro Oeste,NOVA MARINGÁ,MT,Privado
SWWY,MT0428,Posto de Proteção Ambiental Espírito Santo,BARÃO DE MELGAÇO,MT,Privado
SWAP,MT0326,Sementes Petrovina,PEDRA PRETA,MT,Privado
SJKP,RR0037,Caraparu,UIRAMUTÃ,RR,Privado
SSKX,SE0004,SKYJU,ESTÂNCIA,SE,Privado
SWNM,MT0651,Fazenda Módulo Aguapei,PORTO ESPERIDIÃO,MT,Privado
SDIL,RJ0015,Fazenda Pedra Branca,ANGRA DOS REIS,RJ,Privado
SDBJ,MG0079,Boa Vista,PATROCÍNIO,MG,Privado
SISM,AP0005,Sérgio Miranda,MACAPÁ,AP,Privado
SSJQ,MT0293,Fazenda Floresta,RIBEIRÃO CASCALHEIRA,MT,Privado
SSUC,PA0132,Célia Neuza,SANTA BÁRBARA DO PARÁ,PA,Privado
SWTR,AM0054,Taraquá,SÃO GABRIEL DA CACHOEIRA,AM,Privado
SNWH,PR0069,Fazenda São Matheus,QUERÊNCIA DO NORTE,PR,Privado
SWWR,MA0053,Fazenda Roseira,SÃO RAIMUNDO DAS MANGABEIRAS,MA,Privado
SNZN,MS0242,Fazenda Naná Porã,SETE QUEDAS,MS,Privado
SJUS,GO0089,Fazenda Acará,BRITÂNIA,GO,Privado
SSDN,PI0035,Fazenda Nova Fronteira ,MATEIROS,TO,Privado
SJIU,MT0466,Fazenda Caregi,IPIRANGA DO NORTE,MT,Privado
SIQZ,PI0024,Fazenda Lagoa Serena,LAGOA ALEGRE,PI,Privado
