"Código OACI","CIAD","Id to Tipo de Uso","Nome","Município","UF","Longitude","Latitude","Altitude","Operação Diurna","Operação Noturna","Designação 1","Comprimento 1","Largura 1","Resistência 1","Superfície 1","Designação 2","Comprimento 2","Largura 2","Resistência 2","Superfície 2","Portaria de Registro","Link Portaria"
"SSEU","PA0125",1,"Tabocal","ITAITUBA","PA","056°34'55""W","07°16'58""S","279 m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-3588.pdf","PA2019-3588"
"SSDZ","BA0156",1,"Fazenda Requinte","SÃO DESIDÉRIO","BA","046°08'34""W","12°48'19""S","890 m","VFR","Sem Operação","","1600 m","25 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.685.pdf","PA2023-10.685"
"","BA0398",1,"FAZENDA BERGAMASCHI AGRO","CORRENTINA","BA","046°06'04""W","13°48'00""S"," m","VFR","Sem Operação","","850 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-10087.pdf","PA2022-10087"
"SWVJ","MT0416",1,"Fazenda São Judas Tadeu","COMODORO","MT","059°57'02""W","13°35'53""S","475 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-1279.pdf","PA2016-1279"
"SWQP","SP0281",1,"Rio Vermelho Açúcar e Álcool","JUNQUEIRÓPOLIS","SP","051°22'12""W","21°18'55""S","350 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.951.pdf","PA2023-11.951"
"","GO0330",1,"Dom Bill","MONTES CLAROS DE GOIÁS","GO","051°43'13""W","16°01'33""S","386 m","VFR","Sem Operação","","1300 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7078.pdf","PA2022-7078"
"SSVG","MG0190",1,"Condomínio Fly Vila Resort","GUAPÉ","MG","045°59'10""W","20°45'40""S","787 m","VFR","Sem Operação","","1200 m","23 m","11/F/B/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-0737.pdf","PA2016-0737"
"","MT0693",1,"Fazenda Rio Vermelho","COMODORO","MT","060°12'33""W","13°40'48""S","273 m","VFR","Sem Operação","","600 m","18 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3552.pdf","PA2020-3552"
"SIID","RS0062",1,"Fazenda Dona Chica","OSÓRIO","RS","050°22'20""W","30°02'01""S","33 m","VFR","Sem Operação","","800 m","18 m","3200 Kg /   0,50 MPa","Saibro","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-0970.pdf","PA2017-0970"
"","MT0669",1,"Fazenda Brasnorte","BRASNORTE","MT","058°11'28""W","12°41'24""S","441 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4434.pdf","PA2021-4434"
"SNIH","MS0209",1,"Fazenda Rio Negro","AQUIDAUANA","MS","056°14'38""W","19°34'11""S","109 m","VFR","Sem Operação","01/19","900 m","18 m","6/F/B/X/U","Grama","01/19","800 m","18 m","6/F/B/X/U","Grama","https://pergamum.anac.gov.br/arquivos/PA2022-8046.pdf","PA2022-8046"
"SJNZ","MT0514",1,"Fazenda São Jorge","LAMBARI D'OESTE","MT","058°01'45""W","15°20'54""S","179 m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1345.pdf","PA2020-1345"
"","GO0318",1,"Fazenda Lago Bonito","MUNDO NOVO","GO","050°18'49""W","13°36'03""S","234 m","","","","900 m","20 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.390.pdf","PA2023-10.390"
"SDGJ","MS0031",1,"Fazenda São José","PORTO MURTINHO","MS","056°54'39""W","21°19'51""S","296 m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1885.pdf","PA2015-1885"
"SIGE","TO0018",1,"Alberi Juliani","LAGOA DA CONFUSÃO","TO","049°35'06""W","10°47'20""S","206 m","VFR","Sem Operação","","1500 m","25 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.729.pdf","PA2023-11.729"
"SWCR","BA0249",1,"Fazenda Canaã","FORMOSA DO RIO PRETO","BA","045°33'53""W","10°21'09""S","801 m","VFR","Sem Operação","","1000 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-1655.pdf","PA2019-1655"
"","AC0017",1,"Fazenda Brasil","SENA MADUREIRA","AC","068°35'12""W","09°07'57""S"," m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3736.pdf","PA2020-3736"
"SWVO","MS0500",1,"Fazenda Goaçu","RIBAS DO RIO PARDO","MS","053°21'31""W","20°01'50""S","396 m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1707.pdf","PA2020-1707"
"SIPW","PI0023",1,"Nossa Senhora de Fátima","TERESINA","PI","042°42'20""W","05°01'55""S","173 m","","","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5662.pdf","PA2021-5662"
"SSDP","MT0284",1,"Fazenda Fortaleza do Guaporé","VILA BELA DA SANTÍSSIMA TRINDADE","MT","060°10'29""W","14°27'50""S","237 m","VFR","Sem Operação","","1200 m","20 m","8/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10252.pdf","PA2023-10252"
"SJSC","RS0129",1,"Fazenda San Cyro","SERTÃO","RS","052°30'28""W","27°57'17""S","649 m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-137.pdf","PA2019-137"
"SJFX","MS0165",1,"Fazenda Cypi","CORUMBÁ","MS","056°54'15""W","19°20'06""S","93 m","VFR","Sem Operação","","550 m","20 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-2057.pdf","PA2018-2057"
"SJMH","RR0068",1,"Palimiú","ALTO ALEGRE","RR","062°58'16""W","03°19'05""N","273 m","VFR","Sem Operação","","700 m","30 m","4000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2012-2867.pdf","PA2012-2867"
"SDXW","MS0061",1,"Fazenda Sombra da Serra","RIO VERDE DE MATO GROSSO","MS","055°07'58,9""W","18°59'48,1""S","169 m","VFR","Sem Operação","","1000 m","23 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10316.pdf","PA2023-10316"
"SSRL","MS0327",1,"Fazenda Rancho Alegre","RIO VERDE DE MATO GROSSO","MS","055°14'47""W","18°47'40""S","163 m","VFR","Sem Operação","","550 m","20 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-1511.pdf","PA2018-1511"
"","MT0820",1,"Fazenda Paraíso","NOVA UBIRATÃ","MT","054°14'57""W","12°25'45""S","353 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7730.pdf","PA2022-7730"
"","GO0347",1,"FAZENDA SANTA RITA DE CÁSSIA","MINEIROS","GO","053°02'24""W","17°45'32""S","800 m","VFR","Sem Operação","","750 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8721.pdf","PA2022-8721"
"SSZW","MG0460",1,"Usina Coruripe - Filial Limeira do Oeste","LIMEIRA DO OESTE","MG","050°39'20""W","19°31'24""S","422 m","VFR","Sem Operação","","950 m","18 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-3463.pdf","PA2019-3463"
"SSVS","MS0343",1,"Fazenda Sucuri","RIO BRILHANTE","MS","054°46'03""W","21°41'32""S","358 m","","","","800 m","18 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.111.pdf","PA2023-11.111"
"SJDW","MS0155",1,"Fazenda Carandá","CARACOL","MS","057°17'28""W","22°07'19""S","167 m","","","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8293.pdf","PA2022-8293"
"","PA0318",1,"Fazenda Cristo Rei","PACAJÁ","PA","050°38'01""W","03°33'41""S","63 m","VFR","Sem Operação","","700 m","18 m","3500 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7225.pdf","PA2022-7225"
"SSML","BA0160",1,"Comandante Jorge Mello","BOM JESUS DA LAPA","BA","043°38'07,9""W","13°11'48,4""S","453 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-0434.pdf","PA2016-0434"
"SSJU","MT0587",1,"Fazenda São Caetano","PRIMAVERA DO LESTE","MT","054°25'36""W","15°16'50""S","683 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-3282.pdf","PA2019-3282"
"","MT0928",1,"Fazenda Lacy","VILA BELA DA SANTÍSSIMA TRINDADE","MT","060°06'47""W","15°57'01""S","241 m","VFR","Sem Operação","","1200 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.074.pdf","PA2023-12.074"
"SJLH","RR0050",1,"Jacamim","BONFIM","RR","059°47'02""W","02°10'34""N","151 m","VFR","Sem Operação","","600 m","20 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.555.pdf","PA2023-10.555"
"","RR0138",1,"Hangar Du Fanta","CANTÁ","RR","060°35'33""W","02°47'01""N"," m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.690.pdf","PA2023-11.690"
"SIOB","SP0189",1,"Fazenda Guanabara","ANDRADINA","SP","051°16'05""W","20°49'09""S","377 m","VFR","VFR","","1550 m","24 m","13/F/B/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5187.pdf","PA2021-5187"
"SITT","PA0058",1,"Independência","ITAITUBA","PA","056°41'58""W","07°35'39""S","317 m","VFR","Sem Operação","","850 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-3047.pdf","PA2015-3047"
"SNHR","GO0283",1,"Aero Roça","LUZIÂNIA","GO","047°50'15""W","16°32'24""S","851 m","VFR","Sem Operação","","850 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1156.pdf","PA2020-1156"
"","PR0233",1,"CLUBE DE VOO DE ÂNGULO","ÂNGULO","PR","051°52'04""W","23°09'11""S"," m","VFR","Sem Operação","","400 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-13.377.pdf","PA2023-13.377"
"","BA0378",1,"FAZENDA ENTRE RIOS","SÃO DESIDÉRIO","BA","045°23'18""W","12°27'14""S"," m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6081.pdf","PA2021-6081"
"","RS0133",1,"Bela União Agropecuária","SÃO GABRIEL","RS","054°30'12""W","30°09'20""S","130 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9241.pdf","PA2022-9241"
"SSEW","SP0245",1,"Sítio Limoeiro","PARDINHO","SP","048°18'35""W","23°08'44""S","940 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-2625.pdf","PA2014-2625"
"SJKJ","MT0191",1,"Fazenda Siriema","CAMPOS DE JÚLIO","MT","059°15'58""W","13°33'41""S","604 m","","","","1000 m","23 m","4/F/B/X/U","Saibro","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0070.pdf","PA2015-0070"
"","PI0104",1,"FAZENDA PORTUGAL","RIBEIRO GONÇALVES","PI","045°33'12""W","08°18'13""S","513 m","VFR","Sem Operação","","1200 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-13071.pdf","PA2023-13071"
"SSGN","MS0276",1,"Fazenda Guaíba","IGUATEMI","MS","054°32'24""W","23°14'08""S","426,7 m","VFR","Sem Operação","","1000 m","30 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8495.pdf","PA2022-8495"
"","MS0503",1,"Fazenda Morando ","ANAURILÂNDIA","MS","052°51'21""W","22°06'06""S"," m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3607.pdf","PA2020-3607"
"SISV","MT0130",1,"Fazenda Promissão","DIAMANTINO","MT","057°06'13""W","13°53'48""S","515 m","VFR","Sem Operação","","1300 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0747.pdf","PA2015-0747"
"SWIC","MT0591",1,"Fazenda Rancho Alegre","NOVA MUTUM","MT","056°04'00""W","13°31'11""S","447 m","VFR","Sem Operação","","1000 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-3667.pdf","PA2019-3667"
"SSAZ","RN0010",1,"Stratus Ale","NATAL","RN","035°13'07""W","05°44'17""S","5 m","VFR","Sem Operação","","400 m","18 m","3000 Kg /   0,25 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-2988.pdf","PA2017-2988"
"","MT0845",1,"fazenda bufallo","NOVA UBIRATÃ","MT","054°35'58""W","13°13'23""S","435 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.363.pdf","PA2023-11.363"
"","MT0727",1,"FAZENDA NOSSA SENHORA APARECIDA","LAMBARI D'OESTE","MT","057°42'25""W","15°10'42""S","196 m","VFR","Sem Operação","","850 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5273.pdf","PA2021-5273"
"SWFM","GO0122",1,"Fazenda Maiador","GOIANDIRA","GO","048°12'39""W","18°10'28""S","632 m","VFR","Sem Operação","","760 m","20 m","4000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.124.pdf","PA2023-12.124"
"SIBO","MG0091",1,"Simão Sarkis Simão","TRÊS MARIAS","MG","045°17'36""W","18°18'35""S","575 m","VFR","Sem Operação","","800 m","18 m","10/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-2608.pdf","PA2015-2608"
"SIYR","PA0064",1,"Fazenda Rosa de Maio ","ITAITUBA","PA","056°06'33,2""W","04°19'02,3""S","31 m","VFR","Sem Operação","","960 m","18 m","5700 Kg /   0,50 MPa","Concreto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0495.pdf","PA2015-0495"
"","MS0715",1,"Fazenda Carandá","BODOQUENA","MS","056°36'55""W","20°36'50""S","181 m","VFR","Sem Operação","","700 m","20 m","4000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.479.pdf","PA2023-12.479"
"SJLI","MA0029",1,"Fazenda Liliani","BOM JARDIM","MA","046°58'30""W","04°12'49""S","292 m","VFR","Sem Operação","","960 m","28 m","5000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0964.pdf","PA2015-0964"
"SWMY","PA0146",1,"Clube de Voo Mãe Irene","ALTAMIRA","PA","055°05'12,8""W","08°18'26,9""S","251 m","VFR","Sem Operação","","490 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-2909.pdf","PA2016-2909"
"SWPL","MT0027",1,"Leonardo Villas Boas","GAÚCHA DO NORTE","MT","053°22'59""W","12°11'57""S","288 m","VFR","Sem Operação","","1699 m","30 m","8/F/C/Y/U","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6197.pdf","PA2021-6197"
"SNTG","BA0143",1,"Gercino Coelho","FORMOSA DO RIO PRETO","BA","045°14'16""W","11°16'31""S","798 m","VFR","Sem Operação","","1501 m","20 m","15/F/A/Y/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-2964.pdf","PA2017-2964"
"SSUI","TO0040",1,"Fazenda Novo Horizonte","SANTA FÉ DO ARAGUAIA","TO","048°45'37""W","07°05'49""S","185 m","VFR","Sem Operação","","1200 m","20 m","8/F/C/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.573.pdf","PA2023-12.573"
"","BA0395",1,"Fazenda Catarinense","SÃO DESIDÉRIO","BA","046°00'48""W","13°16'58""S"," m","VFR","Sem Operação","","1366 m","15 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8762.pdf","PA2022-8762"
"SWKB","MS0383",1,"Fazenda Baía do Lara","CORUMBÁ","MS","055°17'18""W","17°33'57""S","148 m","VFR","Sem Operação","","900 m","18 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-4079.pdf","PA2017-4079"
"SSLB","MS0300",1,"Fazenda São Paulino","CORUMBÁ","MS","055°55'30""W","19°01'32""S","120 m","VFR","VFR","","560 m","20 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4237.pdf","PA2021-4237"
"","MT0888",1,"Fazenda Jesuína","JUARA","MT","057°10'28""W","11°07'59""S","345 m","VFR","Sem Operação","","1100 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.776.pdf","PA2023-10.776"
"","MT0769",1,"Giongo Participações - Fazenda Camila","GAÚCHA DO NORTE","MT","053°37'18""W","13°44'06""S","525 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6128.pdf","PA2021-6128"
"","MT0782",1,"Fazenda Lagoa Bonita","LUCIARA","MT","050°57'04""W","11°09'02""S","194 m","VFR","Sem Operação","","861 m","14 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6888.pdf","PA2021-6888"
"","MT0734",1,"Fazenda Tocantins","NOVA UBIRATÃ","MT","054°26'27""W","12°45'00""S","359 m","","","","900 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7207.pdf","PA2022-7207"
"SWSQ","AM0053",1,"São Joaquim","SÃO GABRIEL DA CACHOEIRA","AM","069°23'02""W","01°43'59""N","165 m","VFR","Sem Operação","","1200 m","30 m","2500 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1266.pdf","PA2015-1266"
"","MT0935",1,"FAZENDA WS","ALTA FLORESTA","MT","056°04'37""W","10°19'41""S","282 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.881.pdf","PA2023-11.881"
"","AP0021",1,"Aldeia Kumarumã","OIAPOQUE","AP","051°17'58""W","03°23'09""N"," m","VFR","Sem Operação","","600 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-6980.pdf","PA2022-6980"
"","MS0691",1,"FAZENDA PIUVA IX","DOIS IRMÃOS DO BURITI","MS","055°13'48""W","20°35'07""S","240 m","","","","800 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9125.pdf","PA2022-9125"
"SWMX","MT0629",1,"Fazenda Jauquara","BARRA DO BUGRES","MT","057°07'38""W","15°10'26""S","175 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3130.pdf","PA2020-3130"
"SNUE","RS0121",1,"Aero Sepé Aviação Agrícola","SÃO SEPÉ","RS","053°38'23""W","30°11'05""S","155 m","VFR","Sem Operação","","800 m","18 m","4700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-2013.pdf","PA2019-2013"
"SJNM","MT0195",1,"Fazenda Santa Luzia","NOVA MUTUM","MT","055°56'27""W","13°59'38""S","465 m","VFR","Sem Operação","","1100 m","23 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-3139.pdf","PA2014-3139"
"","MT0951",1,"FAZENDA ITAÚBA","CANABRAVA DO NORTE","MT","051°41'18,7""W","11°18'44,3""S","249 m","VFR","Sem Operação","","900 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.350.pdf","PA2023-12.350"
"SIMQ","MS0100",1,"Fazenda Dois de Maio","CORUMBÁ","MS","055°45'11""W","18°12'32""S","150 m","VFR","Sem Operação","","900 m","30 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023- 11.116.pdf","PA2023- 11.116"
"SIMO","PR0048",1,"Fazenda Morro Vermelho","RIBEIRÃO CLARO","PR","049°46'39,6""W","23°13'40,6""S","770 m","VFR","VFR","","730 m","23 m","1542 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-2806.pdf","PA2016-2806"
"SJYT","RR0102",1,"Campo Formoso","PACARAIMA","RR","060°46'11""W","04°43'12""N","364 m","VFR","Sem Operação","","1000 m","30 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2012-2898.pdf","PA2012-2898"
"","MG0506",1,"AERÓDROMO FAZENDA ÁGUA BOA","UNIÃO DE MINAS","MG","050°17'30""W","19°16'22""S"," m","VFR","Sem Operação","04/22","1100 m","23 m","5400 Kg /   0,50 MPa","Terra","04/22","1100 m","23 m","5400 Kg /   0,50 MPa","Terra","https://pergamum.anac.gov.br/arquivos/PA2022-8486.pdf","PA2022-8486"
"","MT0939",1,"MATRIPAR","JUARA","MT","057°32'52""W","10°20'32""S","453 m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,55 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.973.pdf","PA2023-11.973"
"SNIF","MG0150",1,"Clube de Voo Floresta","VISCONDE DO RIO BRANCO","MG","042°53'16""W","20°59'17""S","368 m","VFR","Sem Operação","","700 m","25 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2355.pdf","PA2020-2355"
"","MS0580",1,"FAZENDA SÃO DOMINGOS","TAQUARUSSU","MS","053°19'26""W","22°32'10""S","267 m","VFR","Sem Operação","","900 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6127.pdf","PA2021-6127"
"SNIN","RS0084",1,"Nova Era","PANTANO GRANDE","RS","052°26'31""W","30°12'47,6""S","50 m","VFR","Sem Operação","","460 m","18 m","3000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-1273.pdf","PA2017-1273"
"","MT0977",1,"FAZENDA SARANDI","TAPURAH","MT","056°34'41""W","12°45'00""S"," m","VFR","Sem Operação","","1500 m","23 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-13.386.pdf","PA2023-13.386"
"SDYT","RR0026",1,"Tucuxim","AMAJARI","RR","063°59'13""W","03°45'50""N","137 m","VFR","Sem Operação","","500 m","19 m","4500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2922.pdf","PA2020-2922"
"","RN0018",1,"SENADOR ANTONIO FARIAS","BAÍA FORMOSA","RN","035°02'41""W","06°24'29""S","42 m","","","","870 m","18 m","5600 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6180.pdf","PA2021-6180"
"SDAY","PA0032",1,"Fazenda Santa Lúcia","SANTA MARIA DAS BARREIRAS","PA","050°20'54""W","08°55'19""S","217 m","","","","900 m","20 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8300.pdf","PA2022-8300"
"SJLV","RR0062",1,"Morro","UIRAMUTÃ","RR","059°58'12""W","04°21'26""N","546 m","VFR","Sem Operação","","700 m","20 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2012-2861.pdf","PA2012-2861"
"SWZC","MT0444",1,"Fazenda Corixo","PORTO ESPERIDIÃO","MT","058°53'40""W","16°14'45""S","150 m","VFR","Sem Operação","","950 m","20 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.739.pdf","PA2023-11.739"
"SNPF","GO0102",1,"Fazenda Retiro da Matão","PORANGATU","GO","049°01'50""W","13°29'11""S","342 m","VFR","Sem Operação","","700 m","18 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1532.pdf","PA2015-1532"
"SIGG","MT0488",1,"FSA","NOVA MARINGÁ","MT","057°10'46""W","12°48'52""S","388 m","VFR","Sem Operação","","1100 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-0976.pdf","PA2019-0976"
"","MS0646",1,"Fazenda Marilândia","BELA VISTA","MS","056°26'14""W","22°02'49""S","235 m","VFR","Sem Operação","","1100 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8429.pdf","PA2022-8429"
"SIUF","MT0134",1,"Fazenda São Francisco","PEIXOTO DE AZEVEDO","MT","053°42'06""W","10°09'24""S","355 m","","","","1050 m","23 m","10/F/B/Y/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2024-13.693.pdf","PA2024-13.693"
"SIJA","PA0047",1,"Maca Aero","TAILÂNDIA","PA","048°57'29,7""W","02°53'52,27""S","45 m","","","","800 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.692.pdf","PA2023-12.692"
