ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2005;1;GLO;SBBR;SBEG;499,25;548
2005;1;GLO;SBGR;SBSV;396,00;4
2005;1;GLO;SBCY;SBBR;209,14;410
2005;1;GLO;SBSP;SBGO;328,32;368
2005;1;GLO;SBSP;SBRJ;341,63;264
2005;1;GLO;SBEG;SBBR;1129,00;1
2005;1;GLO;SBGL;SBCT;539,00;2
2005;1;GLO;SBVT;SBBH;193,78;663
2005;1;GLO;SBSV;SBSP;387,06;393
2005;1;GLO;SBBR;SBBE;334,00;8
2005;1;GLO;SBBR;SBSP;422,00;1
2005;1;GLO;SBCT;SBBR;314,42;12
2005;1;GLO;SBCG;SBSP;461,65;60
2005;1;GLO;SBGR;SBCT;325,06;113
2005;1;GLO;SBSV;SBGL;320,23;233
2005;1;GLO;SBBR;SBSV;369,89;387
2005;1;GLO;SBSV;SBBR;531,62;134
2005;1;GLO;SBSV;SBGL;838,25;929
2005;1;GLO;SBSP;SBBH;459,00;3
2005;1;GLO;SBMQ;SBBE;271,00;12
2005;1;GLO;SBRF;SBGL;406,96;231
2005;1;GLO;SBGL;SBSV;558,86;270
2005;1;GLO;SBSV;SBGR;1164,86;145
2005;1;GLO;SBCT;SBBH;146,32;1542
2005;1;GLO;SBSP;SBCG;270,20;95
2005;1;GLO;SBBE;SBEG;507,18;237
2005;1;GLO;SBGL;SBBR;487,20;4
2005;1;GLO;SBPA;SBFL;258,29;221
2005;1;GLO;SBSV;SBRF;157,99;240
2005;1;GLO;SBFL;SBPA;219,25;53
2005;1;GLO;SBBR;SBGL;419,28;271
2005;1;GLO;SBSP;SBSV;414,93;833
2005;1;GLO;SBRP;SBSP;148,00;4
2005;1;GLO;SBSV;SBGR;716,52;60
2005;1;GLO;SBFZ;SBGL;859,50;8
2005;1;GLO;SBGL;SBRF;393,13;197
2005;1;GLO;SBRF;SBSV;428,59;143
2005;1;GLO;SBBR;SBSV;472,96;122
2005;1;GLO;SBSP;SBCY;760,86;32
2005;1;GLO;SBGR;SBGL;331,63;396
2005;1;GLO;SBCT;SBKP;230,48;276
2005;1;GLO;SBGL;SBFZ;564,88;67
2005;1;GLO;SBSV;SBSP;492,52;441
2005;1;GLO;SBSP;SBSV;468,92;427
2005;1;GLO;SBSP;SBNF;349,94;38
2005;1;GLO;SBMQ;SBBE;191,74;137
2005;1;GLO;SBCY;SBBR;328,82;19
2005;1;GLO;SBSP;SBSV;242,84;11
2005;1;GLO;SBBR;SBRF;360,00;3
2005;1;GLO;SBRF;SBSV;240,15;631
2005;1;GLO;SBBR;SBSP;365,00;101
2005;1;GLO;SBFL;SBSP;415,00;23
2005;1;GLO;SBGR;SBGL;156,00;58
2005;1;GLO;SBEG;SBBE;444,50;5
2005;1;GLO;SBBR;SBGL;299,61;102
2005;1;GLO;SBGL;SBFZ;583,20;24
2005;1;GLO;SBSP;SBBH;398,26;234
2005;1;GLO;SBGL;SBSV;578,33;116
2005;1;GLO;SBCY;SBBR;345,27;226
2005;1;GLO;SBCT;SBGL;157,80;5
2005;1;GLO;SBRF;SBFZ;200,76;410
2005;1;GLO;SBFZ;SBGR;1009,18;24
2005;1;GLO;SBSV;SBSP;258,76;37
2005;1;GLO;SBSV;SBBR;703,88;693
2005;1;GLO;SBGL;SBCT;324,69;139
2005;1;GLO;SBSP;SBCG;593,79;258
2005;1;GLO;SBSP;SBVT;77,50;4
2005;1;GLO;SBPA;SBSP;268,74;154
2005;1;GLO;SBBE;SBBR;415,41;101
2005;1;GLO;SBBH;SBBR;246,44;578
2005;1;GLO;SBGL;SBRF;432,00;43
2005;1;GLO;SBBR;SBKP;341,12;123
2005;1;GLO;SBSP;SBPA;410,00;4
2005;1;GLO;SBKP;SBBR;403,78;44
2005;1;GLO;SBVT;SBBH;106,15;3838
2005;1;GLO;SBFZ;SBGL;276,50;2
2005;1;GLO;SBSV;SBRF;241,62;349
2005;1;GLO;SBCY;SBSP;335,96;1605
2005;1;GLO;SBRF;SBGR;330,00;2
2005;1;GLO;SBGR;SBRF;318,28;98
2005;1;GLO;SBGR;SBGL;342,34;107
2005;1;GLO;SBRF;SBGR;440,50;36
2005;1;GLO;SBGL;SBGR;227,78;32
2005;1;GLO;SBGL;SBPA;301,33;3
2005;1;GLO;SBRF;SBBR;614,81;116
2005;1;GLO;SBSP;SBVT;64,50;2
2005;1;GLO;SBCT;SBBR;308,67;252
2005;1;GLO;SBBR;SBSP;268,60;43
2005;1;GLO;SBBH;SBCT;131,00;4
2005;1;GLO;SBGO;SBSP;227,60;5
2005;1;GLO;SBSP;SBUL;256,20;1
2005;1;GLO;SBPA;SBGL;741,42;719
2005;1;GLO;SBBR;SBSP;563,00;1
2005;1;GLO;SBSP;SBNF;257,23;1614
2005;1;GLO;SBSP;SBRP;250,20;5
2005;1;GLO;SBFI;SBGR;249,00;2
2005;1;GLO;SBSP;SBBR;626,00;4
2005;1;GLO;SBRP;SBSP;120,00;125
2005;1;GLO;SBJV;SBSP;94,72;1934
2005;1;GLO;SBSP;SBPS;459,38;451
2005;1;GLO;SBRF;SBFZ;464,34;19
2005;1;GLO;SBGL;SBBR;360,08;2089
2005;1;GLO;SBSV;SBRF;321,18;71
2005;1;GLO;SBSP;SBPS;223,83;161
2005;1;GLO;SBBE;SBBR;249,00;5
2005;1;GLO;SBGL;SBSV;763,58;25
2005;1;GLO;SBPA;SBGL;367,57;417
2005;1;GLO;SBVT;SBSP;238,84;70
2005;1;GLO;SBPA;SBGL;145,00;2
2005;1;GLO;SBGR;SBPA;480,67;21
2005;1;GLO;SBCG;SBSP;406,15;47
2005;1;GLO;SBGO;SBBR;156,33;18
2005;1;GLO;SBGR;SBPA;458,50;8
2005;1;GLO;SBGR;SBCT;509,00;1
2005;1;GLO;SBGL;SBPA;384,53;294
2005;1;GLO;SBPA;SBCT;179,44;180
2005;1;GLO;SBSV;SBRF;169,63;1174
2005;1;GLO;SBBH;SBVT;533,42;136
2005;1;GLO;SBLO;SBSP;162,30;10
2005;1;GLO;SBSV;SBBR;247,50;40
2005;1;GLO;SBSP;SBNF;293,83;46
2005;1;GLO;SBEG;SBBR;747,00;4
2005;1;GLO;SBGL;SBFZ;467,60;205
2005;1;GLO;SBSP;SBFL;254,86;68
2005;1;GLO;SBUL;SBSP;143,24;176
2005;1;GLO;SBSP;SBCY;291,23;251
2005;1;GLO;SBBR;SBPA;448,64;259
2005;1;GLO;SBSV;SBGL;219,33;3
2005;1;GLO;SBGL;SBRF;620,94;260
2005;1;GLO;SBSV;SBGR;792,00;16
2005;1;GLO;SBBR;SBSV;205,58;365
2005;1;GLO;SBPA;SBGL;452,00;2
2005;1;GLO;SBSV;SBGL;347,92;2372
2005;1;GLO;SBCT;SBBH;131,00;160
2005;1;GLO;SBBE;SBEG;356,20;59
2005;1;GLO;SBSP;SBBH;440,71;1750
2005;1;GLO;SBFZ;SBBR;824,13;6
2005;1;GLO;SBBR;SBSV;339,12;164
2005;1;GLO;SBGL;SBSP;309,00;10
2005;1;GLO;SBPA;SBSP;451,93;363
2005;1;GLO;SBCT;SBPA;153,00;2
2005;1;GLO;SBSV;SBRF;184,00;107
2005;1;GLO;SBSP;SBNF;148,15;54
2005;1;GLO;SBSV;SBSP;846,55;28
2005;1;GLO;SBPA;SBSP;593,00;1
2005;1;GLO;SBCT;SBPA;211,47;2038
2005;1;GLO;SBGL;SBFZ;364,72;166
2005;1;GLO;SBRF;SBGR;495,50;10
2005;1;GLO;SBUL;SBSP;172,91;98
2005;1;GLO;SBGL;SBPA;194,25;67
2005;1;GLO;SBBH;SBBR;230,80;10
