ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2003;10;GLO;SBRJ;SBFL;194,26;378
2003;10;GLO;SBCT;SBRJ;248,67;3
2003;10;GLO;SBSP;SBCT;262,66;679
2003;10;GLO;SBCT;SBKP;321,00;1
2003;10;GLO;SBVT;SBRJ;188,40;103
2003;10;GLO;SBBH;SBKP;271,00;6
2003;10;GLO;SBSP;SBCT;248,29;3595
2003;10;GLO;SBPA;SBSP;621,00;1
2003;10;GLO;SBSP;SBRJ;164,13;17
2003;10;GLO;SBVT;SBSP;154,33;130
2003;10;GLO;SBGL;SBPA;359,67;157
2003;10;GLO;SBVT;SBRJ;100,00;10
2003;10;GLO;SBKP;SBPA;234,00;2
2003;10;GLO;SBBH;SBKP;58,00;2
2003;10;GLO;SBRJ;SBBH;150,81;4108
2003;10;GLO;SBCT;SBKP;151,00;2
2003;10;GLO;SBFZ;SBBR;527,95;36
2003;10;GLO;SBKP;SBRJ;370,00;22
2003;10;GLO;SBRJ;SBCT;454,00;1
2003;10;GLO;SBBH;SBKP;386,00;2
2003;10;GLO;SBGO;SBBR;157,77;82
2003;10;GLO;SBRJ;SBPA;208,20;31
2003;10;GLO;SBRJ;SBPA;271,44;25
2003;10;GLO;SBSP;SBVT;177,65;1385
2003;10;GLO;SBBH;SBRJ;210,80;283
2003;10;GLO;SBSP;SBFL;216,89;3887
2003;10;GLO;SBBH;SBRJ;150,58;3471
2003;10;GLO;SBSP;SBFL;260,62;276
2003;10;GLO;SBSP;SBCT;280,85;391
2003;10;GLO;SBRJ;SBPA;306,00;18
2003;10;GLO;SBFL;SBBR;195,50;2
2003;10;GLO;SBFL;SBGL;150,00;2
2003;10;GLO;SBGL;SBSV;412,68;454
2003;10;GLO;SBSV;SBRF;146,60;5
2003;10;GLO;SBGL;SBBR;349,47;15
2003;10;GLO;SBRJ;SBKP;313,00;3
2003;10;GLO;SBGL;SBRF;250,00;8
2003;10;GLO;SBBR;SBSP;349,00;21
2003;10;GLO;SBFL;SBPA;678,00;30
2003;10;GLO;SBSP;SBPA;368,00;110
2003;10;GLO;SBRF;SBFZ;171,94;135
2003;10;GLO;SBPA;SBRJ;219,52;300
2003;10;GLO;SBGL;SBCT;318,43;89
2003;10;GLO;SBBR;SBBH;298,00;60
2003;10;GLO;SBRJ;SBVT;100,00;10
2003;10;GLO;SBPA;SBGL;335,49;1117
2003;10;GLO;SBMQ;SBBE;171,75;31
2003;10;GLO;SBBH;SBRJ;127,19;108
2003;10;GLO;SBBR;SBGL;312,57;534
2003;10;GLO;SBGL;SBSV;260,17;105
2003;10;GLO;SBMQ;SBBE;124,41;114
2003;10;GLO;SBBR;SBCT;331,80;5
2003;10;GLO;SBCT;SBKP;234,88;59
2003;10;GLO;SBPA;SBSP;401,00;54
2003;10;GLO;SBCT;SBSP;380,00;1
2003;10;GLO;SBFL;SBSP;183,00;3
2003;10;GLO;SBNF;SBSP;317,00;1
2003;10;GLO;SBGL;SBSP;144,72;2192
2003;10;GLO;SBRJ;SBSP;324,00;2
2003;10;GLO;SBKP;SBPA;201,14;152
2003;10;GLO;SBVT;SBSP;220,24;176
2003;10;GLO;SBGL;SBFL;214,27;255
2003;10;GLO;SBSP;SBFL;242,33;660
2003;10;GLO;SBCT;SBBH;183,00;110
2003;10;GLO;SBFZ;SBRF;178,52;2778
2003;10;GLO;SBCT;SBPA;288,00;1
2003;10;GLO;SBSP;SBBH;345,00;1
2003;10;GLO;SBRF;SBGL;675,00;15
2003;10;GLO;SBSP;SBBR;391,00;5
2003;10;GLO;SBFZ;SBBR;635,61;145
2003;10;GLO;SBGO;SBSP;417,00;46
2003;10;GLO;SBPA;SBFL;159,12;135
2003;10;GLO;SBFL;SBSP;294,91;267
2003;10;GLO;SBCT;SBGL;236,20;905
2003;10;GLO;SBRJ;SBBR;451,28;150
2003;10;GLO;SBBR;SBRJ;75,00;2
2003;10;GLO;SBVT;SBSP;166,50;126
2003;10;GLO;SBPA;SBSP;162,64;14
2003;10;GLO;SBKP;SBBH;125,44;1150
2003;10;GLO;SBSP;SBPS;292,50;6
2003;10;GLO;SBPS;SBSP;119,23;43
2003;10;GLO;SBFZ;SBRF;150,00;4
2003;10;GLO;SBRJ;SBBH;167,90;3327
2003;10;GLO;SBVT;SBRJ;145,00;3
2003;10;GLO;SBBR;SBSV;400,56;34
2003;10;GLO;SBPA;SBGL;346,85;134
2003;10;GLO;SBPA;SBBR;365,29;17
2003;10;GLO;SBPA;SBSP;338,00;478
2003;10;GLO;SBBE;SBBR;568,00;2
2003;10;GLO;SBRJ;SBFL;160,72;1666
2003;10;GLO;SBBR;SBSP;479,73;59
2003;10;GLO;SBPS;SBSP;159,69;115
2003;10;GLO;SBSV;SBRF;243,27;9
2003;10;GLO;SBGL;SBCT;500,00;7
2003;10;GLO;SBSP;SBGL;160,96;1792
2003;10;GLO;SBBR;SBFL;425,53;3
2003;10;GLO;SBCT;SBGL;322,67;38
2003;10;GLO;SBRJ;SBVT;203,89;28
2003;10;GLO;SBSP;SBBH;314,00;14
2003;10;GLO;SBBR;SBFL;207,79;89
2003;10;GLO;SBSP;SBBR;378,00;10
2003;10;GLO;SBGL;SBSV;379,50;4
