ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2008;1;GLO;SBGR;SBCT;290,00;91
2008;1;GLO;SBRP;SBSP;220,00;20
2008;1;GLO;SBGR;SBCF;335,00;40
2008;1;GLO;SBRJ;SBSP;560,00;3573
2008;1;GLO;SBSP;SBNF;209,00;3948
2008;1;GLO;SBRF;SBFZ;435,00;108
2008;1;GLO;SBSP;SBBR;520,00;11
2008;1;GLO;SBLO;SBSP;365,00;232
2008;1;GLO;SBFZ;SBRF;305,00;210
2008;1;GLO;SBSP;SBPS;425,00;152
2008;1;GLO;SBBR;SBBE;299,00;681
2008;1;GLO;SBGO;SBSP;490,00;1
2008;1;GLO;SBGL;SBSV;299,00;7123
2008;1;GLO;SBGL;SBBR;265,00;191
2008;1;GLO;SBKP;SBBR;46,00;5
2008;1;GLO;SBSP;SBSV;46,00;12
2008;1;GLO;SBPS;SBSP;375,00;232
2008;1;GLO;SBUL;SBSP;46,00;6
2008;1;GLO;SBSV;SBBR;279,00;2905
2008;1;GLO;SBPA;SBBR;630,00;26
2008;1;GLO;SBBR;SBGO;295,00;2
2008;1;GLO;SBSP;SBVT;525,00;9
2008;1;GLO;SBVT;SBSP;89,00;794
2008;1;GLO;SBBR;SBGR;585,00;175
2008;1;GLO;SBGL;SBPA;550,00;61
2008;1;GLO;SBFL;SBPA;189,00;3806
2008;1;GLO;SBSP;SBCY;485,00;410
2008;1;GLO;SBGL;SBFZ;91,00;16
2008;1;GLO;SBPA;SBCT;355,00;27
2008;1;GLO;SBGL;SBGR;180,00;133
2008;1;GLO;SBPA;SBBR;860,00;108
2008;1;GLO;SBSV;SBBR;305,00;235
2008;1;GLO;SBSP;SBJV;46,00;11
2008;1;GLO;SBGL;SBCT;260,00;1327
2008;1;GLO;SBBR;SBSP;325,00;950
2008;1;GLO;SBCT;SBGR;405,00;195
2008;1;GLO;SBBR;SBBE;379,00;743
2008;1;GLO;SBBR;SBEG;439,00;1638
2008;1;GLO;SBSV;SBSP;75,00;4
2008;1;GLO;SBBR;SBEG;500,00;180
2008;1;GLO;SBSR;SBSP;96,00;313
2008;1;GLO;SBSP;SBCT;124,00;82
2008;1;GLO;SBBE;SBEG;400,00;217
2008;1;GLO;SBEG;SBBE;440,00;76
2008;1;GLO;SBPS;SBSP;329,00;1451
2008;1;GLO;SBGO;SBBR;370,00;50
2008;1;GLO;SBCT;SBKP;149,00;1
2008;1;GLO;SBFL;SBGR;275,00;196
2008;1;GLO;SBRF;SBGR;590,00;899
2008;1;GLO;SBFZ;SBRF;390,00;217
2008;1;GLO;SBGL;SBPA;279,00;5472
2008;1;GLO;SBFZ;SBRF;435,00;153
2008;1;GLO;SBGR;SBSV;360,00;229
2008;1;GLO;SBPA;SBCT;445,00;570
2008;1;GLO;SBGL;SBRF;960,00;346
2008;1;GLO;SBSP;SBRP;435,00;59
2008;1;GLO;SBBR;SBGR;470,00;7
2008;1;GLO;SBBR;SBEG;605,00;32
2008;1;GLO;SBGR;SBCT;255,00;400
2008;1;GLO;SBRF;SBGL;960,00;412
2008;1;GLO;SBCT;SBGR;325,00;5
2008;1;GLO;SBFL;SBPA;230,00;399
2008;1;GLO;SBRF;SBFZ;275,00;444
2008;1;GLO;SBBR;SBGO;185,00;127
2008;1;GLO;SBCY;SBSP;780,00;10
2008;1;GLO;SBSP;SBRP;195,00;17
2008;1;GLO;SBKP;SBCT;365,00;10
2008;1;GLO;SBRF;SBGL;580,00;360
2008;1;GLO;SBGR;SBFL;209,00;1911
2008;1;GLO;SBBR;SBCT;93,00;4
2008;1;GLO;SBSP;SBVT;415,00;13
2008;1;GLO;SBSV;SBGL;380,00;1014
2008;1;GLO;SBMQ;SBBE;85,00;927
2008;1;GLO;SBSP;SBVT;89,00;1188
2008;1;GLO;SBSP;SBGO;610,00;68
2008;1;GLO;SBPA;SBGL;620,00;180
2008;1;GLO;SBRF;SBBR;580,00;404
2008;1;GLO;SBKP;SBBR;280,00;353
2008;1;GLO;SBGR;SBRF;349,00;566
2008;1;GLO;SBSP;SBGL;395,00;28
2008;1;GLO;SBGR;SBRF;90,00;569
2008;1;GLO;SBGO;SBBR;46,00;4
2008;1;GLO;SBSP;SBCT;255,00;1586
2008;1;GLO;SBGR;SBFI;259,00;2884
2008;1;GLO;SBCT;SBPA;104,00;128
2008;1;GLO;SBCT;SBGL;470,00;53
2008;1;GLO;SBGO;SBSP;305,00;64
2008;1;GLO;SBCT;SBGR;205,00;626
2008;1;GLO;SBSP;SBCG;470,00;8
2008;1;GLO;SBGL;SBSV;505,00;389
2008;1;GLO;SBCF;SBGL;176,00;181
2008;1;GLO;SBCT;SBSP;405,00;60
2008;1;GLO;SBCT;SBGR;55,00;3
2008;1;GLO;SBKP;SBCT;189,00;1496
2008;1;GLO;SBPA;SBGL;345,00;1227
2008;1;GLO;SBJV;SBSP;235,00;4
2008;1;GLO;SBGL;SBCF;189,00;8427
2008;1;GLO;SBBR;SBRF;93,00;78
2008;1;GLO;SBGO;SBBR;210,00;68
2008;1;GLO;SBKP;SBBR;560,00;37
2008;1;GLO;SBRF;SBFZ;215,00;66
2008;1;GLO;SBFZ;SBBR;900,00;55
2008;1;GLO;SBGL;SBCF;280,00;363
2008;1;GLO;SBFZ;SBGL;495,00;175
2008;1;GLO;SBSP;SBUL;250,00;259
2008;1;GLO;SBFL;SBPA;365,00;58
2008;1;GLO;SBFZ;SBGL;64,00;570
2008;1;GLO;SBBR;SBEG;235,00;251
2008;1;GLO;SBSP;SBJV;300,00;14
2008;1;GLO;SBBE;SBEG;120,00;7
2008;1;GLO;SBCT;SBPA;225,00;827
2008;1;GLO;SBCT;SBFL;220,00;1
2008;1;GLO;SBNF;SBSP;190,00;41
