ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2005;3;GLO;SBBR;SBGO;204,00;4
2005;3;GLO;SBGR;SBGL;199,00;16
2005;3;GLO;SBCT;SBGR;168,80;391
2005;3;GLO;SBBH;SBCT;150,38;79
2005;3;GLO;SBSP;SBNF;168,72;60
2005;3;GLO;SBRF;SBGL;353,24;330
2005;3;GLO;SBFZ;SBRF;468,60;15
2005;3;GLO;SBBR;SBBH;181,01;1093
2005;3;GLO;SBGR;SBSV;459,25;45
2005;3;GLO;SBBR;SBCT;376,75;52
2005;3;GLO;SBGL;SBRF;337,66;351
2005;3;GLO;SBGL;SBPA;450,27;1011
2005;3;GLO;SBSP;SBCG;364,69;35
2005;3;GLO;SBEG;SBGR;404,64;17
2005;3;GLO;SBBR;SBGR;195,21;995
2005;3;GLO;SBGR;SBSV;246,13;96
2005;3;GLO;SBEG;SBGR;1204,50;2
2005;3;GLO;SBGL;SBRF;546,73;61
2005;3;GLO;SBGR;SBPA;144,57;121
2005;3;GLO;SBRF;SBFZ;162,00;37
2005;3;GLO;SBSV;SBGL;585,67;158
2005;3;GLO;SBBR;SBRF;429,44;540
2005;3;GLO;SBBE;SBBR;343,07;28
2005;3;GLO;SBBR;SBGL;273,21;2640
2005;3;GLO;SBBR;SBSV;663,84;83
2005;3;GLO;SBSV;SBRF;123,74;201
2005;3;GLO;SBSP;SBPS;153,82;200
2005;3;GLO;SBRF;SBSV;232,76;567
2005;3;GLO;SBRF;SBGR;382,00;4
2005;3;GLO;SBSV;SBGR;225,38;75
2005;3;GLO;SBJV;SBSP;248,43;783
2005;3;GLO;SBPA;SBSP;347,02;2595
2005;3;GLO;SBBR;SBGR;615,00;2
2005;3;GLO;SBGR;SBPA;423,68;35
2005;3;GLO;SBGL;SBSV;230,93;475
2005;3;GLO;SBGL;SBBR;208,84;4404
2005;3;GLO;SBPA;SBGR;145,89;134
2005;3;GLO;SBRF;SBGL;694,71;18
2005;3;GLO;SBBR;SBBH;136,72;1867
2005;3;GLO;SBSP;SBGO;188,24;917
2005;3;GLO;SBEG;SBBR;394,70;161
2005;3;GLO;SBCG;SBSP;633,48;93
2005;3;GLO;SBVT;SBBH;73,83;221
2005;3;GLO;SBCT;SBSP;286,90;1108
2005;3;GLO;SBPA;SBBR;420,67;9
2005;3;GLO;SBSP;SBRP;193,25;409
2005;3;GLO;SBFL;SBGR;212,00;30
2005;3;GLO;SBPA;SBBR;416,15;36
2005;3;GLO;SBBR;SBGR;268,68;372
2005;3;GLO;SBSP;SBPS;406,95;971
2005;3;GLO;SBSP;SBNF;239,29;1344
2005;3;GLO;SBPA;SBCT;286,06;137
2005;3;GLO;SBGL;SBSV;463,14;342
2005;3;GLO;SBBH;SBSP;276,63;182
2005;3;GLO;SBKP;SBBR;354,13;59
2005;3;GLO;SBUL;SBSP;289,05;4
2005;3;GLO;SBRF;SBFZ;230,04;544
2005;3;GLO;SBRF;SBFZ;495,00;8
2005;3;GLO;SBBR;SBCT;282,91;681
2005;3;GLO;SBBH;SBSP;1,00;49
2005;3;GLO;SBFL;SBPA;227,41;1739
2005;3;GLO;SBBH;SBBR;217,79;732
2005;3;GLO;SBNF;SBSP;168,25;385
2005;3;GLO;SBBR;SBPA;190,81;1932
2005;3;GLO;SBGR;SBCT;345,71;16
2005;3;GLO;SBCT;SBBH;152,33;156
2005;3;GLO;SBSP;SBBR;391,66;460
2005;3;GLO;SBBE;SBMQ;200,65;40
2005;3;GLO;SBPA;SBCT;455,00;1
2005;3;GLO;SBVT;SBSP;233,00;20
2005;3;GLO;SBBH;SBBR;141,12;1956
2005;3;GLO;SBSP;SBSV;274,48;2448
2005;3;GLO;SBFZ;SBGL;742,50;2
2005;3;GLO;SBGR;SBGL;195,75;44
2005;3;GLO;SBSP;SBFL;140,20;1261
2005;3;GLO;SBRF;SBBR;350,05;673
