ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2004;9;GLO;SBFL;SBSP;262,83;208
2004;9;GLO;SBGL;SBFZ;585,93;270
2004;9;GLO;SBGL;SBBR;184,42;192
2004;9;GLO;SBBR;SBFZ;0,97;265
2004;9;GLO;SBCT;SBBH;117,00;2
2004;9;GLO;SBEG;SBBR;822,55;13
2004;9;GLO;SBSP;SBBH;0,98;491
2004;9;GLO;SBSP;SBCY;399,00;1
2004;9;GLO;SBGR;SBSV;508,00;3
2004;9;GLO;SBFL;SBSP;216,64;114
2004;9;GLO;SBKP;SBCT;234,14;22
2004;9;GLO;SBBR;SBBE;578,00;16
2004;9;GLO;SBBR;SBBH;330,20;1053
2004;9;GLO;SBPA;SBFL;143,81;2289
2004;9;GLO;SBSV;SBGL;302,71;25
2004;9;GLO;SBSP;SBBH;452,00;1
2004;9;GLO;SBGL;SBSV;542,78;39
2004;9;GLO;SBRF;SBFZ;464,80;6
2004;9;GLO;SBSV;SBGR;382,00;3
2004;9;GLO;SBPA;SBFL;123,00;33
2004;9;GLO;SBGL;SBSP;203,02;484
2004;9;GLO;SBFL;SBPA;146,50;2363
2004;9;GLO;SBGO;SBSP;229,04;26
2004;9;GLO;SBFL;SBGR;100,00;2
2004;9;GLO;SBFZ;SBRF;490,00;1
2004;9;GLO;SBBR;SBCT;207,68;25
2004;9;GLO;SBBH;SBSP;127,66;35
2004;9;GLO;SBGR;SBEG;267,00;8
2004;9;GLO;SBSP;SBGL;155,07;668
2004;9;GLO;SBSP;SBPA;613,00;1
2004;9;GLO;SBSP;SBCT;275,00;1
2004;9;GLO;SBBR;SBPA;489,22;1043
2004;9;GLO;SBBR;SBCT;591,00;2
2004;9;GLO;SBGR;SBCT;737,00;1
2004;9;GLO;SBGO;SBSP;457,85;104
2004;9;GLO;SBFL;SBPA;168,98;436
2004;9;GLO;SBEG;SBBR;517,00;1
2004;9;GLO;SBBE;SBMQ;195,62;11
2004;9;GLO;SBGR;SBEG;497,97;18
2004;9;GLO;SBEG;SBBR;344,86;131
2004;9;GLO;SBSP;SBPA;335,82;142
2004;9;GLO;SBBR;SBGR;0,97;826
2004;9;GLO;SBGL;SBCT;293,94;1080
2004;9;GLO;SBCY;SBSP;485,96;162
2004;9;GLO;SBSV;SBGR;372,05;15
2004;9;GLO;SBGO;SBSP;331,88;95
2004;9;GLO;SBSV;SBBR;384,65;39
2004;9;GLO;SBSP;SBBH;288,25;3231
2004;9;GLO;SBSP;SBSV;211,47;3
2004;9;GLO;SBSV;SBSP;221,76;25
2004;9;GLO;SBCT;SBKP;247,00;9
2004;9;GLO;SBSP;SBCT;247,40;56
2004;9;GLO;SBVT;SBSP;484,00;1
2004;9;GLO;SBSP;SBGL;290,00;8
2004;9;GLO;SBRF;SBFZ;250,12;830
2004;9;GLO;SBCT;SBPA;199,35;50
2004;9;GLO;SBSP;SBCY;306,00;8
2004;9;GLO;SBVT;SBBH;184,64;1047
2004;9;GLO;SBEG;SBGR;517,13;8
2004;9;GLO;SBBE;SBBR;382,00;2
2004;9;GLO;SBSV;SBRF;144,78;212
2004;9;GLO;SBBE;SBEG;712,71;63
2004;9;GLO;SBSP;SBPA;416,39;3743
2004;9;GLO;SBBR;SBBH;0,98;545
2004;9;GLO;SBBR;SBGL;421,75;1704
2004;9;GLO;SBBR;SBSP;419,50;1652
2004;9;GLO;SBGR;SBCT;306,00;1
2004;9;GLO;SBSP;SBCT;207,07;1650
2004;9;GLO;SBSP;SBGO;388,69;601
2004;9;GLO;SBGL;SBSP;100,00;75
