ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2006;7;BRB;SBGL;SBSP;99,00;3
2006;7;BRB;SBRF;SBGL;319,00;42
2006;7;BRB;SBFZ;SBBR;369,00;10
2006;7;BRB;SBGR;SBBR;289,00;6
2006;7;BRB;SBFZ;SBGR;489,00;2
2006;7;BRB;SBPA;SBGR;289,00;8
2006;7;BRB;SBBR;SBSV;118,00;8
2006;7;BRB;SBBR;SBRF;309,00;13
2006;7;BRB;SBGL;SBPA;219,00;20
2006;7;BRB;SBRF;SBGL;449,00;7
2006;7;BRB;SBSV;SBBR;219,00;41
2006;7;BRB;SBVT;SBSP;189,00;41
2006;7;BRB;SBGR;SBRF;459,00;7
2006;7;BRB;SBPA;SBGR;179,00;27
2006;7;BRB;SBBR;SBGL;289,00;13
2006;7;BRB;SBGL;SBSP;159,00;79
2006;7;BRB;SBSP;SBBR;449,00;4
2006;7;BRB;SBGL;SBSP;149,00;121
2006;7;BRB;SBBE;SBBR;339,00;37
2006;7;BRB;SBPA;SBGL;130,00;4
2006;7;BRB;SBSP;SBSV;319,00;109
2006;7;BRB;SBCT;SBGL;129,00;62
2006;7;BRB;SBSV;SBSP;319,00;78
2006;7;BRB;SBBE;SBBR;329,00;95
2006;7;BRB;SBBR;SBSP;289,00;13
2006;7;BRB;SBGL;SBSP;199,00;11
2006;7;BRB;SBSV;SBBR;118,00;8
2006;7;BRB;SBGR;SBFZ;509,00;26
2006;7;BRB;SBSP;SBCT;259,00;19
2006;7;BRB;SBCF;SBGL;79,00;205
2006;7;BRB;SBBR;SBCT;279,00;1
2006;7;BRB;SBGL;SBSP;101,00;121
2006;7;BRB;SBSP;SBSV;389,00;50
2006;7;BRB;SBPA;SBGL;229,00;42
2006;7;BRB;SBGO;SBSP;169,00;2
2006;7;BRB;SBSP;SBBR;1299,00;2
2006;7;BRB;SBCT;SBSP;169,00;35
2006;7;BRB;SBSP;SBPA;309,00;36
2006;7;BRB;SBSP;SBGL;101,00;145
2006;7;BRB;SBSP;SBPA;289,00;33
2006;7;BRB;SBGL;SBGR;119,00;28
2006;7;BRB;SBRF;SBSV;179,00;1
2006;7;BRB;SBSV;SBGL;309,00;8
2006;7;BRB;SBPA;SBGR;199,00;16
2006;7;BRB;SBFZ;SBGL;599,00;20
2006;7;BRB;SBPA;SBGL;319,00;70
2006;7;BRB;SBSP;SBVT;159,00;2
2006;7;BRB;SBGR;SBSV;199,00;360
2006;7;BRB;SBSV;SBGR;359,00;16
2006;7;BRB;SBGL;SBSV;359,00;14
2006;7;BRB;SBGO;SBBR;89,00;51
2006;7;BRB;SBGR;SBBR;339,00;15
2006;7;BRB;SBFZ;SBGR;539,00;62
2006;7;BRB;SBGL;SBCT;299,00;5
2006;7;BRB;SBGL;SBFZ;459,00;26
2006;7;BRB;SBSV;SBBR;369,00;1
2006;7;BRB;SBBR;SBFZ;589,00;12
2006;7;BRB;SBCT;SBGL;139,00;37
2006;7;BRB;SBGR;SBBR;101,00;9
2006;7;BRB;SBPA;SBSP;199,00;80
2006;7;BRB;SBGR;SBPA;369,00;2
2006;7;BRB;SBSP;SBGL;159,00;87
2006;7;BRB;SBBR;SBSV;399,00;15
2006;7;BRB;SBSP;SBGL;89,00;758
2006;7;BRB;SBSP;SBBR;179,00;99
2006;7;BRB;SBBR;SBBE;469,00;5
2006;7;BRB;SBGR;SBRF;389,00;17
2006;7;BRB;SBFZ;SBBR;289,00;13
2006;7;BRB;SBSP;SBPA;339,00;120
2006;7;BRB;SBSP;SBBR;209,00;40
2006;7;BRB;SBGL;SBCF;149,00;3
2006;7;BRB;SBGL;SBFZ;245,00;9
2006;7;BRB;SBSP;SBSV;309,00;93
2006;7;BRB;SBSP;SBGL;119,00;182
2006;7;BRB;SBSP;SBPA;179,00;58
2006;7;BRB;SBGL;SBRF;259,00;2
2006;7;BRB;SBBR;SBGR;339,00;7
2006;7;BRB;SBSP;SBGO;199,00;10
2006;7;BRB;SBBR;SBCT;299,00;1
2006;7;BRB;SBCT;SBGR;34,00;1
2006;7;BRB;SBGR;SBSV;469,00;4
2006;7;BRB;SBBR;SBBE;279,00;42
2006;7;BRB;SBSP;SBCT;179,00;87
2006;7;BRB;SBCT;SBGL;169,00;31
2006;7;BRB;SBSP;SBPA;369,00;42
2006;7;BRB;SBCT;SBSP;209,00;9
2006;7;BRB;SBGR;SBBR;209,00;58
2006;7;BRB;SBGL;SBFZ;479,00;2
2006;7;BRB;SBFZ;SBGL;509,00;13
2006;7;BRB;SBGR;SBRF;769,00;20
2006;7;BRB;SBGL;SBSV;149,00;6
2006;7;BRB;SBSV;SBGL;269,00;17
2006;7;BRB;SBBR;SBGL;199,00;466
2006;7;BRB;SBSV;SBSP;309,00;122
2006;7;BRB;SBPA;SBBR;589,00;1
2006;7;BRB;SBSV;SBRF;159,00;15
2006;7;BRB;SBBR;SBSV;219,00;79
2006;7;BRB;SBBR;SBGL;179,00;213
2006;7;BRB;SBCT;SBSP;149,00;45
2006;7;BRB;SBGR;SBGL;149,00;8
2006;7;BRB;SBSP;SBPA;169,00;114
2006;7;BRB;SBBR;SBRF;559,00;3
2006;7;BRB;SBSP;SBVT;179,00;3
2006;7;BRB;SBGR;SBBR;169,00;393
2006;7;BRB;SBSV;SBGL;249,00;7
2006;7;BRB;SBGR;SBRF;479,00;11
2006;7;BRB;SBGR;SBCT;139,00;3
2006;7;BRB;SBBR;SBSP;339,00;29
2006;7;BRB;SBGL;SBBR;179,00;203
2006;7;BRB;SBGR;SBFZ;629,00;173
2006;7;BRB;SBSP;SBGL;179,00;93
2006;7;BRB;SBSV;SBSP;389,00;63
2006;7;BRB;SBPA;SBGL;279,00;29
2006;7;BRB;SBFZ;SBGR;198,00;1
2006;7;BRB;SBRF;SBBR;329,00;21
2006;7;BRB;SBBR;SBBE;369,00;41
2006;7;BRB;SBGL;SBPA;319,00;19
2006;7;BRB;SBSV;SBBR;249,00;6
2006;7;BRB;SBSP;SBGO;149,00;69
2006;7;BRB;SBFZ;SBRF;199,00;7
2006;7;BRB;SBFZ;SBGR;819,00;15
2006;7;BRB;SBBR;SBGR;169,00;332
2006;7;BRB;SBSV;SBSP;199,00;315
2006;7;BRB;SBSV;SBGL;199,00;49
2006;7;BRB;SBCT;SBSP;179,00;82
2006;7;BRB;SBBR;SBBE;309,00;6
2006;7;BRB;SBFZ;SBBR;349,00;3
2006;7;BRB;SBGL;SBCF;189,00;9
2006;7;BRB;SBSV;SBGR;429,00;1
2006;7;BRB;SBSP;SBGL;99,00;7
2006;7;BRB;SBBR;SBBE;429,00;49
2006;7;BRB;SBGL;SBSV;259,00;13
2006;7;BRB;SBSP;SBGL;149,00;112
2006;7;BRB;SBGR;SBBR;219,00;80
2006;7;BRB;SBSP;SBCT;209,00;34
2006;7;BRB;SBFZ;SBGR;629,00;62
2006;7;BRB;SBGL;SBGR;409,00;5
2006;7;BRB;SBGR;SBSV;399,00;42
2006;7;BRB;SBGR;SBFZ;639,00;3
2006;7;BRB;SBGR;SBFZ;759,00;22
2006;7;BRB;SBGL;SBBR;149,00;423
2006;7;BRB;SBSV;SBGL;329,00;10
2006;7;BRB;SBBR;SBGR;259,00;32
2006;7;BRB;SBPA;SBCT;159,00;3
2006;7;BRB;SBPA;SBCT;139,00;110
2006;7;BRB;SBGR;SBRF;284,00;1
2006;7;BRB;SBBE;SBBR;389,00;8
2006;7;BRB;SBBR;SBGL;319,00;41
2006;7;BRB;SBFZ;SBGL;769,00;2
2006;7;BRB;SBGL;SBCT;239,00;14
2006;7;BRB;SBBR;SBRF;339,00;8
2006;7;BRB;SBGL;SBPA;239,00;108
2006;7;BRB;SBSP;SBCT;169,00;17
2006;7;BRB;SBSP;SBGL;199,00;5
2006;7;BRB;SBSV;SBGR;509,00;6
2006;7;BRB;SBGR;SBSV;299,00;72
2006;7;BRB;SBFZ;SBBR;180,00;15
2006;7;BRB;SBGR;SBFZ;819,00;40
2006;7;BRB;SBGL;SBCT;159,00;27
2006;7;BRB;SBBE;SBBR;429,00;27
2006;7;BRB;SBGL;SBGR;89,00;272
2006;7;BRB;SBGR;SBRF;609,00;11
2006;7;BRB;SBBR;SBSP;209,00;115
2006;7;BRB;SBGR;SBRF;549,00;59
