ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2006;6;BRB;SBGL;SBPA;449,00;2
2006;6;BRB;SBPA;SBSP;125,00;2
2006;6;BRB;SBSP;SBGL;169,00;50
2006;6;BRB;SBGL;SBSP;139,00;60
2006;6;BRB;SBGL;SBCT;129,00;197
2006;6;BRB;SBSV;SBSP;1449,00;52
2006;6;BRB;SBGR;SBGL;159,00;4
2006;6;BRB;SBCF;SBGL;79,00;287
2006;6;BRB;SBGL;SBGR;409,00;49
2006;6;BRB;SBGL;SBCF;89,00;22
2006;6;BRB;SBGR;SBRF;479,00;3
2006;6;BRB;SBBE;SBBR;329,00;3
2006;6;BRB;SBBR;SBSV;209,00;2
2006;6;BRB;SBCT;SBBR;269,00;11
2006;6;BRB;SBPA;SBSP;229,00;78
2006;6;BRB;SBGL;SBSV;249,00;2
2006;6;BRB;SBVT;SBSP;209,00;15
2006;6;BRB;SBGR;SBSV;429,00;2
2006;6;BRB;SBGL;SBGR;109,00;173
2006;6;BRB;SBGR;SBSV;1709,00;1
2006;6;BRB;SBRF;SBGR;509,00;3
2006;6;BRB;SBPA;SBGL;299,00;4
2006;6;BRB;SBGL;SBFZ;359,00;47
2006;6;BRB;SBGL;SBPA;279,00;7
2006;6;BRB;SBBR;SBGR;199,00;37
2006;6;BRB;SBBR;SBBE;329,00;13
2006;6;BRB;SBSP;SBGL;189,00;2
2006;6;BRB;SBSP;SBPA;289,00;42
2006;6;BRB;SBCT;SBSP;289,00;7
2006;6;BRB;SBGO;SBSP;209,00;11
2006;6;BRB;SBGR;SBGL;149,00;1
2006;6;BRB;SBCT;SBGL;259,00;8
2006;6;BRB;SBGL;SBSV;269,00;2
2006;6;BRB;SBCT;SBGL;179,00;17
2006;6;BRB;SBCT;SBGL;149,00;132
2006;6;BRB;SBGR;SBGL;99,00;185
2006;6;BRB;SBPA;SBSP;449,00;2
2006;6;BRB;SBBR;SBPA;339,00;35
2006;6;BRB;SBCT;SBSP;99,00;180
2006;6;BRB;SBGO;SBSP;199,00;10
2006;6;BRB;SBPA;SBSP;199,00;160
2006;6;BRB;SBGL;SBRF;319,00;10
2006;6;BRB;SBRF;SBBR;429,00;2
2006;6;BRB;SBRF;SBGR;319,00;84
2006;6;BRB;SBGO;SBSP;189,00;26
2006;6;BRB;SBRF;SBGL;379,00;5
2006;6;BRB;SBRF;SBGL;489,00;2
2006;6;BRB;SBSP;SBPA;179,00;224
2006;6;BRB;SBCT;SBSP;149,00;32
2006;6;BRB;SBGL;SBCF;129,00;59
2006;6;BRB;SBBE;SBBR;309,00;14
2006;6;BRB;SBCT;SBGL;219,00;3
2006;6;BRB;SBSV;SBGR;289,00;5
2006;6;BRB;SBGR;SBSV;359,00;22
2006;6;BRB;SBRF;SBGR;2029,00;6
2006;6;BRB;SBCT;SBSP;129,00;50
2006;6;BRB;SBGO;SBSP;309,00;2
2006;6;BRB;SBSP;SBGO;199,00;43
2006;6;BRB;SBGL;SBBR;199,00;151
2006;6;BRB;SBSP;SBCT;119,00;10
2006;6;BRB;SBGR;SBFZ;429,00;8
2006;6;BRB;SBFZ;SBGR;539,00;1
2006;6;BRB;SBGR;SBFZ;2159,00;23
2006;6;BRB;SBPA;SBSP;179,00;165
2006;6;BRB;SBCT;SBGR;109,00;16
2006;6;BRB;SBBE;SBBR;389,00;3
2006;6;BRB;SBRF;SBGR;409,00;27
2006;6;BRB;SBFZ;SBBR;309,00;5
2006;6;BRB;SBGR;SBSV;339,00;33
2006;6;BRB;SBGL;SBCT;299,00;4
2006;6;BRB;SBRF;SBSV;219,00;1
2006;6;BRB;SBSP;SBGL;102,00;49
2006;6;BRB;SBBR;SBGR;189,00;19
2006;6;BRB;SBPA;SBSP;289,00;4
2006;6;BRB;SBGL;SBCT;139,00;78
2006;6;BRB;SBRF;SBBR;329,00;25
2006;6;BRB;SBBR;SBRF;399,00;1
2006;6;BRB;SBGL;SBGR;629,00;3
2006;6;BRB;SBSP;SBGL;109,00;250
2006;6;BRB;SBBR;SBGR;179,00;48
2006;6;BRB;SBGL;SBSV;329,00;1
2006;6;BRB;SBGL;SBSP;89,00;683
2006;6;BRB;SBGL;SBBR;149,00;642
2006;6;BRB;SBBR;SBFZ;289,00;54
2006;6;BRB;SBGL;SBPA;239,00;84
2006;6;BRB;SBSP;SBGL;139,00;231
2006;6;BRB;SBGR;SBBR;169,00;225
2006;6;BRB;SBBR;SBGL;239,00;61
2006;6;BRB;SBGR;SBRF;439,00;2
2006;6;BRB;SBGL;SBFZ;459,00;2
2006;6;BRB;SBBR;SBRF;1469,00;2
2006;6;BRB;SBGL;SBSP;101,00;202
2006;6;BRB;SBBR;SBSP;289,00;7
2006;6;BRB;SBBR;SBBE;279,00;105
2006;6;BRB;SBBR;SBGL;269,00;12
2006;6;BRB;SBSP;SBVT;209,00;3
2006;6;BRB;SBSP;SBCT;139,00;79
2006;6;BRB;SBGR;SBSV;399,00;56
2006;6;BRB;SBCT;SBSP;109,00;184
2006;6;BRB;SBGL;SBCT;219,00;34
2006;6;BRB;SBPA;SBCT;119,00;68
2006;6;BRB;SBBR;SBGL;399,00;3
2006;6;BRB;SBBR;SBGL;179,00;104
2006;6;BRB;SBSP;SBPA;259,00;81
2006;6;BRB;SBBR;SBGR;239,00;11
2006;6;BRB;SBCT;SBGL;169,00;23
2006;6;BRB;SBSP;SBPA;889,00;262
2006;6;BRB;SBGL;SBCF;159,00;1
2006;6;BRB;SBBR;SBBE;339,00;17
2006;6;BRB;SBGL;SBCT;239,00;9
2006;6;BRB;SBFZ;SBGL;429,00;1
2006;6;BRB;SBVT;SBSP;159,00;12
2006;6;BRB;SBGR;SBBR;289,00;3
2006;6;BRB;SBRF;SBGR;2079,00;2
2006;6;BRB;SBVT;SBSP;229,00;6
2006;6;BRB;SBGL;SBBR;369,00;6
2006;6;BRB;SBSP;SBSV;269,00;3
2006;6;BRB;SBGR;SBRF;319,00;120
2006;6;BRB;SBBR;SBGR;339,00;3
2006;6;BRB;SBGL;SBPA;489,00;3
2006;6;BRB;SBBR;SBFZ;349,00;12
2006;6;BRB;SBFZ;SBBR;349,00;9
2006;6;BRB;SBBR;SBGR;209,00;4
2006;6;BRB;SBCT;SBBR;279,00;2
2006;6;BRB;SBPA;SBBR;409,00;14
2006;6;BRB;SBGL;SBCT;159,00;64
2006;6;BRB;SBBR;SBSP;219,00;5
2006;6;BRB;SBPA;SBCT;129,00;8
2006;6;BRB;SBRF;SBGL;359,00;14
2006;6;BRB;SBBR;SBPA;389,00;3
2006;6;BRB;SBGR;SBSV;289,00;46
2006;6;BRB;SBPA;SBSP;239,00;60
2006;6;BRB;SBSV;SBBR;279,00;4
2006;6;BRB;SBGL;SBFZ;409,00;1
2006;6;BRB;SBPA;SBBR;369,00;1
2006;6;BRB;SBGL;SBBR;229,00;31
2006;6;BRB;SBBR;SBSP;209,00;38
2006;6;BRB;SBGL;SBPA;319,00;2
2006;6;BRB;SBSP;SBSV;1449,00;2
2006;6;BRB;SBGR;SBRF;389,00;21
2006;6;BRB;SBBR;SBFZ;329,00;14
2006;6;BRB;SBFZ;SBGR;359,00;203
2006;6;BRB;SBSP;SBSV;199,00;160
2006;6;BRB;SBRF;SBBR;339,00;12
2006;6;BRB;SBGR;SBFZ;359,00;266
2006;6;BRB;SBPA;SBSP;339,00;28
2006;6;BRB;SBBR;SBPA;409,00;3
2006;6;BRB;SBPA;SBGL;319,00;13
2006;6;BRB;SBPA;SBSP;209,00;123
2006;6;BRB;SBPA;SBGR;259,00;2
2006;6;BRB;SBSP;SBCT;189,00;10
2006;6;BRB;SBSP;SBPA;169,00;567
2006;6;BRB;SBBR;SBSP;259,00;41
2006;6;BRB;SBSV;SBGR;199,00;64
2006;6;BRB;SBGR;SBRF;459,00;1
2006;6;BRB;SBGR;SBCT;99,00;6
2006;6;BRB;SBCT;SBSP;89,00;268
2006;6;BRB;SBBR;SBFZ;309,00;4
2006;6;BRB;SBGR;SBBR;259,00;13
2006;6;BRB;SBBR;SBRF;339,00;9
2006;6;BRB;SBSV;SBRF;109,00;48
2006;6;BRB;SBGR;SBBR;309,00;2
2006;6;BRB;SBSP;SBCT;259,00;23
2006;6;BRB;SBBR;SBRF;289,00;21
2006;6;BRB;SBFZ;SBBR;419,00;2
2006;6;BRB;SBGR;SBBR;219,00;11
