ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2009;1;AZU;SBCT;SBKP;389,00;1
2009;1;AZU;SBCT;SBKP;129,00;55
2009;1;AZU;SBCT;SBKP;559,00;4
2009;1;AZU;SBCT;SBKP;249,00;10
2009;1;AZU;SBCT;SBKP;219,00;180
2009;1;AZU;SBPA;SBCT;79,00;23
2009;1;AZU;SBPA;SBCT;299,00;1
2009;1;AZU;SBKP;SBCT;199,00;225
2009;1;AZU;SBKP;SBCT;51,00;955
2009;1;AZU;SBCT;SBKP;239,00;3
2009;1;AZU;SBKP;SBCT;234,00;1
2009;1;AZU;SBKP;SBCT;279,00;75
2009;1;AZU;SBCT;SBKP;299,00;1
2009;1;AZU;SBCT;SBKP;259,00;20
2009;1;AZU;SBCT;SBPA;109,00;25
2009;1;AZU;SBCT;SBPA;329,00;1
2009;1;AZU;SBCT;SBKP;51,00;1026
2009;1;AZU;SBCT;SBKP;169,00;2
2009;1;AZU;SBKP;SBCT;249,00;14
2009;1;AZU;SBCT;SBKP;199,00;203
2009;1;AZU;SBCT;SBKP;349,00;2
2009;1;AZU;SBPA;SBCT;279,00;5
2009;1;AZU;SBCT;SBKP;139,00;156
2009;1;AZU;SBCT;SBPA;79,00;39
2009;1;AZU;SBCT;SBKP;49,00;26
2009;1;AZU;SBKP;SBCT;389,00;5
2009;1;AZU;SBKP;SBCT;129,00;48
2009;1;AZU;SBCT;SBKP;279,00;125
2009;1;AZU;SBCT;SBPA;279,00;2
2009;1;AZU;SBKP;SBCT;139,00;115
2009;1;AZU;SBKP;SBCT;259,00;13
2009;1;AZU;SBKP;SBCT;169,00;2
2009;1;AZU;SBCT;SBKP;234,00;1
2009;1;AZU;SBPA;SBCT;109,00;35
2009;1;AZU;SBCT;SBPA;449,00;1
2009;1;AZU;SBKP;SBCT;349,00;3
2009;1;AZU;SBKP;SBCT;219,00;127
2009;1;AZU;SBKP;SBCT;189,00;52
2009;1;AZU;SBPA;SBCT;189,00;1
2009;1;AZU;SBKP;SBCT;49,00;20
2009;1;AZU;SBCT;SBKP;189,00;48
2009;1;GLO;SBCT;SBRJ;289,00;11
2009;1;GLO;SBEG;SBBE;630,00;62
2009;1;GLO;SBGL;SBCF;400,00;51
2009;1;GLO;SBGL;SBRF;569,00;1004
2009;1;GLO;SBPA;SBGR;159,00;4678
2009;1;GLO;SBSP;SBJV;259,00;571
2009;1;GLO;SBSP;SBUL;319,00;537
2009;1;GLO;SBGL;SBGR;249,00;403
2009;1;GLO;SBGR;SBPA;289,00;2157
2009;1;GLO;SBGL;SBRF;627,50;396
2009;1;GLO;SBBR;SBGR;515,00;10
2009;1;GLO;SBBR;SBSP;460,00;789
2009;1;GLO;SBSP;SBBR;505,00;936
2009;1;GLO;SBRJ;SBBR;790,00;1
2009;1;GLO;SBSP;SBVT;249,00;160
2009;1;GLO;SBEG;SBBR;1045,00;3
2009;1;GLO;SBBR;SBRF;439,00;277
2009;1;GLO;SBFL;SBPA;355,00;269
2009;1;GLO;SBSP;SBVT;515,00;3
2009;1;GLO;SBBE;SBEG;299,00;92
2009;1;GLO;SBKP;SBBR;450,00;57
2009;1;GLO;SBBR;SBEG;865,00;47
2009;1;GLO;SBGL;SBBR;259,00;635
2009;1;GLO;SBRJ;SBPA;439,00;51
2009;1;GLO;SBBR;SBFZ;582,50;117
2009;1;GLO;SBEG;SBBE;575,00;144
2009;1;GLO;SBBR;SBRJ;489,00;8
2009;1;GLO;SBRJ;SBSP;630,00;5
2009;1;GLO;SBSV;SBGR;805,00;243
2009;1;GLO;SBPA;SBBR;505,00;81
2009;1;GLO;SBGL;SBBR;369,00;2491
2009;1;GLO;SBFL;SBCT;99,00;84
2009;1;GLO;SBBR;SBCT;369,00;606
2009;1;GLO;SBBE;SBMQ;305,00;343
2009;1;GLO;SBSV;SBRF;530,00;6
2009;1;GLO;SBFI;SBGR;259,00;189
2009;1;GLO;SBSP;SBGO;279,00;1569
2009;1;GLO;SBPA;SBBR;369,00;1839
2009;1;GLO;SBCT;SBGR;470,00;3
2009;1;GLO;SBUL;SBSP;259,00;607
2009;1;GLO;SBCF;SBGR;199,00;45
2009;1;GLO;SBEG;SBGR;825,00;247
2009;1;GLO;SBBR;SBRJ;539,00;10
2009;1;GLO;SBNF;SBSP;329,00;513
2009;1;GLO;SBBR;SBCT;1021,00;162
2009;1;GLO;SBBR;SBRF;695,00;95
2009;1;GLO;SBGL;SBPA;705,00;7
2009;1;GLO;SBPA;SBBR;740,00;22
2009;1;GLO;SBBR;SBSP;189,00;6322
2009;1;GLO;SBFL;SBPA;309,00;386
2009;1;GLO;SBGR;SBEG;1874,00;642
2009;1;GLO;SBGL;SBSV;359,00;1168
2009;1;GLO;SBCT;SBFL;150,00;17
2009;1;GLO;SBGL;SBCF;179,00;2072
2009;1;GLO;SBBE;SBEG;1044,00;138
2009;1;GLO;SBCT;SBPA;380,00;124
2009;1;GLO;SBSV;SBRF;761,00;106
2009;1;GLO;SBBR;SBFZ;449,00;262
2009;1;GLO;SBCT;SBKP;322,50;212
2009;1;GLO;SBKP;SBCT;322,50;89
2009;1;GLO;SBJV;SBSP;345,00;16
2009;1;GLO;SBFI;SBGR;425,00;25
2009;1;GLO;SBSP;SBBR;319,00;385
2009;1;GLO;SBGO;SBBR;172,50;52
2009;1;GLO;SBGR;SBFZ;739,00;453
