ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2002;4;GLO;SBSV;SBRF;152,00;4
2002;4;GLO;SBRF;SBSV;97,00;69
2002;4;GLO;SBFL;SBSP;163,00;74
2002;4;GLO;SBBR;SBSP;145,00;468
2002;4;GLO;SBBH;SBSP;292,00;25
2002;4;GLO;SBSP;SBPA;191,00;52
2002;4;GLO;SBBR;SBBE;212,00;304
2002;4;GLO;SBBH;SBBR;133,00;2
2002;4;GLO;SBFL;SBGL;127,00;120
2002;4;GLO;SBCT;SBSP;182,00;12
2002;4;GLO;SBBE;SBBR;474,00;1
2002;4;GLO;SBGL;SBFL;127,00;120
2002;4;GLO;SBSV;SBBR;383,00;7
2002;4;GLO;SBGL;SBFL;200,00;4
2002;4;GLO;SBBR;SBFL;230,00;22
2002;4;GLO;SBBR;SBGL;99,00;2861
2002;4;GLO;SBPA;SBCT;76,00;197
2002;4;GLO;SBBR;SBFZ;239,00;954
2002;4;GLO;SBSP;SBRJ;128,00;673
2002;4;GLO;SBBR;SBFL;246,00;4
2002;4;GLO;SBSP;SBBH;148,00;1
2002;4;GLO;SBBE;SBBR;212,00;83
2002;4;GLO;SBRJ;SBVT;81,00;31
2002;4;GLO;SBBH;SBSP;113,00;1029
2002;4;GLO;SBSP;SBFL;131,00;261
2002;4;GLO;SBSP;SBPA;160,00;774
2002;4;GLO;SBMQ;SBBE;118,00;1
2002;4;GLO;SBBH;SBBR;158,00;1
2002;4;GLO;SBRF;SBGL;655,00;2
2002;4;GLO;SBBH;SBSP;101,00;1518
2002;4;GLO;SBFL;SBBR;230,00;52
2002;4;GLO;SBGL;SBFL;190,00;12
2002;4;GLO;SBGL;SBBR;99,00;3447
2002;4;GLO;SBBR;SBSP;129,00;6898
2002;4;GLO;SBCT;SBBR;187,00;164
2002;4;GLO;SBBH;SBSP;76,00;1426
2002;4;GLO;SBFL;SBGL;203,00;100
2002;4;GLO;SBSP;SBFL;163,00;2
2002;4;GLO;SBGL;SBFL;261,00;2
2002;4;GLO;SBFL;SBBR;246,00;18
2002;4;GLO;SBVT;SBRJ;81,00;54
2002;4;GLO;SBPA;SBGL;135,00;178
2002;4;GLO;SBPA;SBBR;257,00;30
2002;4;GLO;SBBE;SBBR;189,00;455
2002;4;GLO;SBFL;SBSP;131,00;153
2002;4;GLO;SBBH;SBBR;194,00;1
2002;4;GLO;SBBR;SBFL;169,00;99
2002;4;GLO;SBBR;SBFL;199,00;704
2002;4;GLO;SBGL;SBFL;180,00;44
2002;4;GLO;SBRF;SBSV;115,00;64
2002;4;GLO;SBBH;SBSP;160,00;1
2002;4;GLO;SBBH;SBCT;186,00;204
2002;4;GLO;SBPA;SBSP;129,00;3776
2002;4;GLO;SBBR;SBSP;161,00;34
2002;4;GLO;SBPA;SBSP;110,00;458
2002;4;GLO;SBGL;SBFL;149,00;2179
2002;4;GLO;SBBR;SBSV;212,00;59
2002;4;GLO;SBSV;SBRF;79,00;1335
2002;4;GLO;SBPA;SBBR;303,00;3
2002;4;GLO;SBPA;SBSP;176,00;694
2002;4;GLO;SBBE;SBMQ;79,00;1303
2002;4;GLO;SBSV;SBBR;189,00;141
2002;4;GLO;SBSP;SBRJ;118,00;2478
2002;4;GLO;SBSP;SBCT;134,00;3
2002;4;GLO;SBBR;SBBE;189,00;140
2002;4;GLO;SBGL;SBBR;205,00;8
2002;4;GLO;SBSP;SBRJ;148,00;1674
2002;4;GLO;SBBR;SBSV;189,00;2
2002;4;GLO;SBSP;SBGL;168,00;9
2002;4;GLO;SBPA;SBFL;79,00;1584
2002;4;GLO;SBFL;SBSP;120,00;423
2002;4;GLO;SBPA;SBCT;102,00;27
2002;4;GLO;SBMQ;SBBE;87,00;35
2002;4;GLO;SBCT;SBBH;388,17;2
2002;4;GLO;SBPA;SBFL;241,00;34
2002;4;GLO;SBBR;SBBE;258,00;2
2002;4;GLO;SBPA;SBCT;89,00;2066
2002;4;GLO;SBBH;SBBR;121,00;476
2002;4;GLO;SBPA;SBCT;309,00;5
2002;4;GLO;SBSV;SBGL;297,00;2
2002;4;GLO;SBSP;SBGL;158,00;2
2002;4;GLO;SBBR;SBCT;187,00;211
2002;4;GLO;SBGL;SBCT;132,00;177
2002;4;GLO;SBCT;SBPA;102,00;11
2002;4;GLO;SBGL;SBRF;281,00;174
2002;4;GLO;SBBR;SBBH;93,00;409
2002;4;GLO;SBRJ;SBVT;264,00;1
2002;4;GLO;SBBR;SBGL;163,00;1
2002;4;GLO;SBGL;SBSP;178,00;15
2002;4;GLO;SBBR;SBSP;110,00;1564
2002;4;GLO;SBBR;SBPA;189,00;1580
2002;4;GLO;SBGL;SBFL;170,00;60
2002;4;GLO;SBCT;SBGL;144,00;152
2002;4;GLO;SBFL;SBSP;84,00;240
2002;4;GLO;SBCT;SBSP;67,00;866
2002;4;GLO;SBGL;SBRF;302,00;122
2002;4;GLO;SBBR;SBGL;142,00;191
2002;4;GLO;SBRJ;SBSP;148,00;1831
2002;4;GLO;SBGL;SBPA;159,00;1788
2002;4;GLO;SBGL;SBRF;385,00;2
2002;4;GLO;SBRF;SBSV;350,00;34
2002;4;GLO;SBSP;SBRJ;158,00;392
2002;4;GLO;SBBR;SBBH;121,00;709
2002;4;GLO;SBBE;SBMQ;133,00;1
2002;4;GLO;SBSV;SBGL;272,00;5
2002;4;GLO;SBSV;SBRF;350,00;3
2002;4;GLO;SBFL;SBPA;79,00;1599
2002;4;GLO;SBBH;SBBR;93,00;426
2002;4;GLO;SBBH;SBSP;136,00;2
2002;4;GLO;SBBH;SBCT;350,00;3
2002;4;GLO;SBFL;SBPA;106,00;10
2002;4;GLO;SBGL;SBCT;119,00;1628
2002;4;GLO;SBGL;SBPA;194,00;88
2002;4;GLO;SBFL;SBBR;262,00;18
2002;4;GLO;SBSV;SBRF;115,00;4
2002;4;GLO;SBBR;SBBE;235,00;50
2002;4;GLO;SBSP;SBFL;120,00;382
2002;4;GLO;SBRJ;SBSP;128,00;809
2002;4;GLO;SBBR;SBBH;109,00;2251
2002;4;GLO;SBRJ;SBSP;98,00;686
2002;4;GLO;SBSV;SBRF;67,00;710
2002;4;GLO;SBSV;SBGL;504,00;6
2002;4;GLO;SBBR;SBBH;194,00;2
2002;4;GLO;SBPA;SBGL;229,00;4
2002;4;GLO;SBSP;SBBH;89,00;7072
2002;4;GLO;SBSV;SBBR;166,00;57
2002;4;GLO;SBGL;SBRF;322,00;46
2002;4;GLO;SBRJ;SBSP;108,00;1609
2002;4;GLO;SBGL;SBSV;246,00;30
2002;4;GLO;SBBH;SBSP;89,00;7128
2002;4;GLO;SBSP;SBBR;286,00;2
2002;4;GLO;SBRJ;SBKP;69,00;2203
2002;4;GLO;SBVT;SBRJ;94,00;25
2002;4;GLO;SBPA;SBBR;161,00;114
2002;4;GLO;SBKP;SBRJ;81,00;61
2002;4;GLO;SBPA;SBSP;160,00;1240
2002;4;GLO;SBBR;SBGL;84,00;433
2002;4;GLO;SBCT;SBSP;95,00;25
2002;4;GLO;SBBR;SBBE;474,00;1
2002;4;GLO;SBGL;SBRF;260,00;530
2002;4;GLO;SBSP;SBFL;84,00;287
2002;4;GLO;SBGL;SBCT;157,00;12
2002;4;GLO;SBGL;SBBR;120,00;719
2002;4;GLO;SBRJ;SBKP;92,00;5
2002;4;GLO;SBFL;SBBR;293,00;19
2002;4;GLO;SBCT;SBGL;101,00;129
2002;4;GLO;SBSP;SBRJ;98,00;727
2002;4;GLO;SBGL;SBFL;211,00;2
2002;4;GLO;SBBR;SBBE;593,00;7
2002;4;GLO;SBBR;SBBH;133,00;2
2002;4;GLO;SBRF;SBGL;364,00;12
2002;4;GLO;SBGL;SBPA;176,00;538
2002;4;GLO;SBGL;SBSV;297,00;3
2002;4;GLO;SBFL;SBSP;99,00;1680
2002;4;GLO;SBFZ;SBBR;257,00;40
2002;4;GLO;SBSP;SBPA;145,00;1902
2002;4;GLO;SBSP;SBRJ;168,00;9
2002;4;GLO;SBVT;SBRJ;264,00;74
2002;4;GLO;SBGL;SBBR;293,00;7
2002;4;GLO;SBCT;SBBR;149,00;1421
2002;4;GLO;SBBR;SBPA;212,00;392
2002;4;GLO;SBGL;SBFL;221,00;2
2002;4;GLO;SBSP;SBBR;177,00;10
2002;4;GLO;SBRJ;SBSP;158,00;539
2002;4;GLO;SBFL;SBPA;97,00;48
2002;4;GLO;SBRF;SBSV;67,00;684
2002;4;GLO;SBBE;SBBR;258,00;4
2002;4;GLO;SBCT;SBBH;152,00;202
2002;4;GLO;SBRJ;SBSP;118,00;2827
2002;4;GLO;SBSP;SBBR;161,00;70
2002;4;GLO;SBBR;SBGL;422,00;2
2002;4;GLO;SBBE;SBMQ;225,00;1
2002;4;GLO;SBSP;SBBR;145,00;989
2002;4;GLO;SBKP;SBRJ;59,00;491
2002;4;GLO;SBSP;SBGL;118,00;132
2002;4;GLO;SBCT;SBBR;168,00;449
2002;4;GLO;SBGL;SBBR;163,00;39
2002;4;GLO;SBFL;SBBR;309,00;3
2002;4;GLO;SBBH;SBSP;125,00;7
2002;4;GLO;SBCT;SBBR;127,00;178
