ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2006;1;BRB;SBGR;SBCT;99,00;122
2006;1;BRB;SBBE;SBBR;439,00;12
2006;1;BRB;SBCT;SBGR;119,00;10
2006;1;BRB;SBGL;SBBR;359,00;74
2006;1;BRB;SBRF;SBBR;609,00;14
2006;1;BRB;SBGL;SBRF;319,00;171
2006;1;BRB;SBSP;SBPA;189,00;125
2006;1;BRB;SBVT;SBSP;209,00;44
2006;1;BRB;SBSP;SBCT;149,00;1
2006;1;BRB;SBGR;SBGL;209,00;3
2006;1;BRB;SBSP;SBGL;179,00;2
2006;1;BRB;SBGL;SBRF;379,00;37
2006;1;BRB;SBRF;SBSV;159,00;41
2006;1;BRB;SBVT;SBSP;169,00;8
2006;1;BRB;SBRF;SBBR;479,00;55
2006;1;BRB;SBBR;SBSV;369,00;1
2006;1;BRB;SBBR;SBRF;609,00;11
2006;1;BRB;SBGR;SBGL;129,00;44
2006;1;BRB;SBRF;SBGR;479,00;3
2006;1;BRB;SBGR;SBRF;839,00;9
2006;1;BRB;SBGL;SBCF;129,00;8
2006;1;BRB;SBPA;SBCT;249,00;1
2006;1;BRB;SBRF;SBGL;729,00;5
2006;1;BRB;SBSP;SBPA;159,00;58
2006;1;BRB;SBSP;SBPA;259,00;181
2006;1;BRB;SBRF;SBGL;217,00;1
2006;1;BRB;SBBR;SBSP;209,00;147
2006;1;BRB;SBGL;SBRF;519,00;35
2006;1;BRB;SBGO;SBSP;339,00;1
2006;1;BRB;SBSV;SBSP;319,00;91
2006;1;BRB;SBSV;SBBR;369,00;24
2006;1;BRB;SBGL;SBSV;759,00;1
2006;1;BRB;SBSV;SBSP;719,00;23
2006;1;BRB;SBSV;SBSP;389,00;136
2006;1;BRB;SBSP;SBGO;199,00;114
2006;1;BRB;SBGL;SBCF;109,00;1
2006;1;BRB;SBSV;SBSP;359,00;219
2006;1;BRB;SBBR;SBGR;179,00;130
2006;1;BRB;SBSV;SBGR;419,00;20
2006;1;BRB;SBBE;SBBR;349,00;23
2006;1;BRB;SBGL;SBBR;239,00;364
2006;1;BRB;SBGR;SBPA;159,00;37
2006;1;BRB;SBGL;SBRF;399,00;54
2006;1;BRB;SBPA;SBCT;139,00;127
2006;1;BRB;SBSV;SBBR;659,00;1
2006;1;BRB;SBGL;SBRF;449,00;59
2006;1;BRB;SBGL;SBCT;269,00;32
2006;1;BRB;SBSP;SBBR;219,00;1079
2006;1;BRB;SBGL;SBCT;209,00;63
2006;1;BRB;SBBR;SBSP;279,00;27
2006;1;BRB;SBGR;SBCT;109,00;63
2006;1;BRB;SBBR;SBBE;369,00;5
2006;1;BRB;SBGO;SBSP;289,00;4
2006;1;BRB;SBSP;SBGO;339,00;30
2006;1;BRB;SBGL;SBRF;269,00;1
2006;1;BRB;SBCT;SBSP;159,00;61
2006;1;BRB;SBSP;SBSV;499,00;26
2006;1;BRB;SBPA;SBGL;249,00;58
2006;1;BRB;SBCT;SBPA;159,00;23
2006;1;BRB;SBCT;SBGL;209,00;68
2006;1;BRB;SBBE;SBBR;529,00;1
2006;1;BRB;SBSP;SBGO;279,00;28
2006;1;BRB;SBBR;SBBE;439,00;7
2006;1;BRB;SBSP;SBGL;89,00;21
2006;1;BRB;SBPA;SBGL;379,00;3
2006;1;BRB;SBBR;SBGL;219,00;873
2006;1;BRB;SBBR;SBRF;399,00;4
2006;1;BRB;SBGR;SBGL;149,00;8
2006;1;BRB;SBBR;SBSP;199,00;410
2006;1;BRB;SBGR;SBCT;159,00;21
2006;1;BRB;SBVT;SBSP;219,00;7
2006;1;BRB;SBGR;SBRF;459,00;2
2006;1;BRB;SBGL;SBRF;619,00;20
2006;1;BRB;SBCT;SBGR;129,00;12
2006;1;BRB;SBSP;SBGO;179,00;238
2006;1;BRB;SBGL;SBBR;219,00;934
2006;1;BRB;SBGR;SBBR;239,00;5
2006;1;BRB;SBCT;SBSP;199,00;2
2006;1;BRB;SBGL;SBBR;259,00;16
2006;1;BRB;SBCT;SBGL;299,00;1
2006;1;BRB;SBGL;SBSV;279,00;42
2006;1;BRB;SBBR;SBSP;239,00;39
2006;1;BRB;SBGL;SBSP;169,00;8
2006;1;BRB;SBBR;SBGR;219,00;302
2006;1;BRB;SBBR;SBGR;279,00;7
2006;1;BRB;SBGL;SBPA;289,00;138
2006;1;BRB;SBRF;SBGL;279,00;1
2006;1;BRB;SBBR;SBGL;209,00;29
2006;1;BRB;SBGR;SBBR;1299,00;1
2006;1;BRB;SBSP;SBGL;119,00;631
2006;1;BRB;SBBR;SBGO;69,00;6
2006;1;BRB;SBRF;SBGL;479,00;70
2006;1;BRB;SBPA;SBGL;289,00;170
2006;1;BRB;SBGR;SBPA;179,00;43
2006;1;BRB;SBGL;SBPA;229,00;12
2006;1;BRB;SBGL;SBSP;209,00;6
2006;1;BRB;SBSP;SBPA;279,00;60
2006;1;BRB;SBSP;SBBR;309,00;14
2006;1;BRB;SBSV;SBGL;459,00;1
2006;1;BRB;SBSV;SBGL;269,00;40
2006;1;BRB;SBVT;SBSP;179,00;7
2006;1;BRB;SBGO;SBSP;369,00;1
2006;1;BRB;SBSV;SBGR;299,00;4
2006;1;BRB;SBGL;SBRF;479,00;65
2006;1;BRB;SBPA;SBGR;169,00;7
2006;1;BRB;SBSP;SBGL;629,00;5
2006;1;BRB;SBCF;SBGL;119,00;10
2006;1;BRB;SBPA;SBCT;129,00;190
2006;1;BRB;SBSP;SBCT;99,00;246
2006;1;BRB;SBGL;SBGR;139,00;65
2006;1;BRB;SBSP;SBSV;719,00;34
2006;1;BRB;SBCT;SBSP;99,00;177
2006;1;BRB;SBSV;SBRF;179,00;11
2006;1;BRB;SBPA;SBBR;419,00;8
2006;1;BRB;SBGR;SBGL;189,00;9
2006;1;BRB;SBGR;SBPA;209,00;41
2006;1;BRB;SBGR;SBBR;209,00;7
2006;1;BRB;SBGL;SBGR;89,00;407
2006;1;BRB;SBGL;SBBR;149,00;2
2006;1;BRB;SBCT;SBBR;329,00;3
2006;1;BRB;SBBR;SBBE;529,00;4
2006;1;BRB;SBSV;SBRF;169,00;147
2006;1;BRB;SBSV;SBGR;389,00;1
2006;1;BRB;SBBR;SBBE;409,00;30
2006;1;BRB;SBPA;SBSP;239,00;231
2006;1;BRB;SBSV;SBSP;419,00;111
2006;1;BRB;SBBR;SBGL;239,00;168
2006;1;BRB;SBGL;SBRF;279,00;1
2006;1;BRB;SBGL;SBGR;629,00;6
2006;1;BRB;SBRF;SBBR;299,00;5
2006;1;BRB;SBGO;SBBR;69,00;1
2006;1;BRB;SBSP;SBPA;309,00;1
2006;1;BRB;SBSP;SBGL;109,00;347
2006;1;BRB;SBSP;SBGO;1249,00;1
2006;1;BRB;SBGR;SBBR;169,00;12
2006;1;BRB;SBRF;SBSV;129,00;566
2006;1;BRB;SBGR;SBPA;279,00;38
2006;1;BRB;SBPA;SBBR;349,00;3
2006;1;BRB;SBSP;SBGO;259,00;444
2006;1;BRB;SBBR;SBSV;229,00;2
2006;1;BRB;SBGR;SBGL;169,00;9
2006;1;BRB;SBBE;SBBR;409,00;37
2006;1;BRB;SBSV;SBGL;389,00;24
2006;1;BRB;SBSV;SBSP;239,00;45
2006;1;BRB;SBSV;SBRF;209,00;31
2006;1;BRB;SBRF;SBBR;529,00;21
2006;1;BRB;SBGL;SBSP;129,00;69
2006;1;BRB;SBPA;SBSP;359,00;1
2006;1;BRB;SBBR;SBGL;189,00;107
2006;1;BRB;SBBR;SBCT;279,00;2
2006;1;BRB;SBPA;SBCT;99,00;204
2006;1;BRB;SBSV;SBSP;639,00;4
2006;1;BRB;SBCT;SBSP;119,00;51
2006;1;BRB;SBPA;SBSP;209,00;330
2006;1;BRB;SBSV;SBRF;229,00;14
2006;1;BRB;SBSP;SBGO;159,00;8
2006;1;BRB;SBGL;SBSP;149,00;85
2006;1;BRB;SBGL;SBSP;89,00;107
2006;1;BRB;SBBR;SBSP;169,00;302
2006;1;BRB;SBGL;SBSV;329,00;29
2006;1;BRB;SBGL;SBSP;629,00;2
2006;1;BRB;SBRF;SBBR;749,00;1
2006;1;BRB;SBBR;SBGL;289,00;353
2006;1;BRB;SBSP;SBCT;109,00;398
2006;1;BRB;SBGR;SBPA;259,00;5
2006;1;BRB;SBRF;SBGR;349,00;25
2006;1;BRB;SBSP;SBSV;389,00;218
2006;1;BRB;SBBR;SBPA;349,00;3
2006;1;BRB;SBSV;SBGR;359,00;44
2006;1;BRB;SBRF;SBGR;429,00;10
2006;1;BRB;SBCT;SBSP;149,00;11
2006;1;BRB;SBSP;SBGL;139,00;46
2006;1;BRB;SBRF;SBGL;519,00;28
2006;1;BRB;SBGR;SBPA;169,00;83
2006;1;BRB;SBBE;SBBR;369,00;4
2006;1;BRB;SBBR;SBSP;1299,00;1
2006;1;BRB;SBPA;SBSP;189,00;80
2006;1;BRB;SBCF;SBGL;159,00;11
2006;1;BRB;SBGR;SBCT;149,00;8
2006;1;BRB;SBSP;SBBR;179,00;357
2006;1;BRB;SBGR;SBCT;119,00;16
2006;1;BRB;SBSP;SBBR;279,00;168
2006;1;BRB;SBBR;SBSP;219,00;625
2006;1;BRB;SBGR;SBGL;139,00;43
2006;1;BRB;SBRF;SBGR;509,00;49
2006;1;BRB;SBPA;SBCT;159,00;36
2006;1;BRB;SBPA;SBGR;279,00;29
2006;1;BRB;SBPA;SBGR;209,00;13
2006;1;BRB;SBBR;SBGL;259,00;12
2006;1;BRB;SBSV;SBSP;589,00;55
2006;1;BRB;SBPA;SBSP;169,00;41
2006;1;BRB;SBGL;SBSP;109,00;297
2006;1;BRB;SBPA;SBGR;259,00;10
2006;1;BRB;SBBR;SBCT;299,00;2
2006;1;BRB;SBCT;SBPA;99,00;359
2006;1;BRB;SBGL;SBGR;109,00;225
2006;1;BRB;SBSP;SBPA;239,00;142
2006;1;BRB;SBGL;SBRF;729,00;2
2006;1;BRB;SBGL;SBSV;349,00;39
2006;1;BRB;SBBR;SBBE;349,00;12
2006;1;BRB;SBCT;SBBR;279,00;3
2006;1;BRB;SBCT;SBSP;79,00;33
2006;1;BRB;SBSV;SBRF;159,00;49
2006;1;BRB;SBGL;SBSV;389,00;48
2006;1;BRB;SBSV;SBGL;419,00;8
2006;1;BRB;SBSP;SBCT;79,00;44
2006;1;BRB;SBGR;SBCT;79,00;21
2006;1;BRB;SBGO;SBBR;59,00;306
